interaction_id,target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
0,12S-LOX,,ALOX12,P18054,ENSG00000108839,,,,,,,Human,ML355,,,,,Inhibitor,Inhibition,,Selective,f,t,,pIC50,,,,IC50,,,,=,,,,24393039
1,15-LOX-1,,ALOX15,P16050,ENSG00000161905,,,,,,,Human,PKUMDL_MH_1001,,,,,Allosteric modulator,Positive,,Not Determined,f,f,,pKd,,,,Kd,,,,=,Determined by surface plasmon resonance (SPR),,,26290290
2,15-LOX-1,,ALOX15,P16050,ENSG00000161905,,,,,,,Human,compound 34 [PMID: 20866075],,,,,Inhibitor,Inhibition,,Selective,f,t,,pKi,,,,Ki,,,,<,,,,20866075
3,15-LOX-1,,ALOX15,P16050,ENSG00000161905,,,,,,,Human,ML351,,,,,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,24672829
4,15-LOX-2,,ALOX15B,O15296,ENSG00000179593,,,,,,,Human,compound 21n [PMID: 17656086],,,,,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,17656086
5,15-LOX-2,,ALOX15B,O15296,ENSG00000179593,,,,,,,Human,MLS000536924,,,,,Inhibitor,Inhibition,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,25111178
6,3-Mercaptopyruvate sulfurtransferase,,MPST,P25325,ENSG00000128309,,,,,,,Human,I3MT-3,,,,,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,28079151
7,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,7-hydroxystaurosporine,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,11896604
8,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,BX-795,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,,,15772071
9,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,BX-912,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,,,15772071
10,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,compound 1 [PMID: 20005102],,,,,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,20005102
11,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,GSK2334470,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,21341675
12,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,OSU-03012,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,15205346
13,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,PHT-427,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pKi,,,,Ki,,,,=,Assay using purified recombinant pleckstrin homology domain of human PDK1,,,20197390
14,4-1BB,,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,urelumab,,,,,Antibody,Agonist,,Selective,f,t,,pKd,,,,Kd,,,,=,Dissociation constant for the 20H4-9-IgG4 clone binding to human 4-1BB,,,
15,4-1BB,,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,utomilumab,,,,,Antibody,Agonist,,Selective,f,t,,pKd,,,,Kd,,,,=,Binding to 4-1BB extracellular domain measured using a surface plasmon resonance (SPR) biosensor assay.,,,22406983
16,4-1BB,,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,4-1BB ligand,,TNFSF9,Human,,None,None,,Non-selective,t,,,-,,,,,,,,,,,,
17,4-aminobutyrate aminotransferase,,ABAT,P80404,ENSG00000183044,,,,,,,Human,4-acryloylphenol,,,,,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,16290145
18,4-aminobutyrate aminotransferase,,ABAT,P80404,ENSG00000183044,,,,,,,Human,CPP-115,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pKi,,,,Ki,,,,=,,,,22168767
19,4-aminobutyrate aminotransferase,,ABAT,P80404,ENSG00000183044,,,,,,,Human,vigabatrin,,,,,Inhibitor,Irreversible inhibition,,Not Determined,f,t,,pKi,,,,Ki,,,,=,,,,856582|22168767
20,4F2hc,,SLC3A2,P08195,ENSG00000168003,,,,,,,Human,IGN523,,,,,Antibody,Binding,,Selective,f,t,,pKd,,,,Kd,,,,=,,,,
21,4-hydroxyphenylpyruvate dioxygenase,,,,,,,,,,,Pig,nitisinone,,,,,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,10853644
22,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,avitriptan,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,9050026
23,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,flibanserin,,,,,Agonist,Agonist,,Not Determined,f,t,,pKi,,,,Ki,,,,=,,,,12177684
24,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,frovatriptan,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,9986723
25,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-12,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,17649988
26,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-211,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,18800769
27,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-44,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,17649988
28,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SEP-363856,,,,,Agonist,Agonist,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,31371483
29,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,1-naphthylpiperazine,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9397179
30,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,5-CT,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,1386736|9760039|9550290|9205951
31,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,5-hydroxytryptamine,,,,,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,1386736|9760039|10431754|9550290|9205951|15628665
32,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,7-methoxy-1-naphthylpiperazine,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9397179
33,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,8-OH-DPAT,,,,,Agonist,Full agonist,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,1386736|9760039|9550290|15628665|9495870|10611634|12527336|9067310
34,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,asenapine,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
35,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BMY-14802,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
36,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,cabergoline,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,12388666
37,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,clozapine,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801|9732398
38,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,CP 93129,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9205951
39,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,donitriptan,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10381763
40,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,eletriptan,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
41,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,EMDT,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10715164
42,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,FG-5893,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
43,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,flesinoxan,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
44,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"L-694,247",,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9205951
45,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"L-772,405",,,,,Agonist,Full agonist,,,f,,,pIC50,,,,,,,,,,,,10585208
46,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,lisuride,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9550290|9205951|12388666
47,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"LY 165,163",,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
48,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY293284,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,11101361
49,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY334370,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,15900510
