interaction_id,target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,approved_drug,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
0,12S-LOX,,ALOX12,P18054,ENSG00000108839,,,,,,,Human,ML355,,,,,f,Inhibitor,Inhibition,,Selective,f,t,,pIC50,,,,IC50,,,,=,,,,24393039
1,15-LOX-1,,ALOX15,P16050,ENSG00000161905,,,,,,,Human,PKUMDL_MH_1001,,,,,f,Allosteric modulator,Positive,,Not Determined,f,f,,pKd,,,,Kd,,,,=,Determined by surface plasmon resonance (SPR),,,26290290
2,15-LOX-1,,ALOX15,P16050,ENSG00000161905,,,,,,,Human,compound 34 [PMID: 20866075],,,,,f,Inhibitor,Inhibition,,Selective,f,t,,pKi,,,,Ki,,,,<,,,,20866075
3,15-LOX-1,,ALOX15,P16050,ENSG00000161905,,,,,,,Human,ML351,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,24672829
4,15-LOX-2,,ALOX15B,O15296,ENSG00000179593,,,,,,,Human,compound 21n [PMID: 17656086],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,17656086
5,15-LOX-2,,ALOX15B,O15296,ENSG00000179593,,,,,,,Human,MLS000536924,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,25111178
6,3-Mercaptopyruvate sulfurtransferase,,MPST,P25325,ENSG00000128309,,,,,,,Human,I3MT-3,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,28079151
7,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,7-hydroxystaurosporine,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,11896604
8,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,BX-795,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,,,15772071
9,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,BX-912,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,,,15772071
10,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,compound 1 [PMID: 20005102],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,20005102
11,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,GSK2334470,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,21341675
12,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,OSU-03012,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,15205346
13,3-phosphoinositide dependent protein kinase 1,,PDPK1,O15530,ENSG00000140992,,,,,,,Human,PHT-427,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pKi,,,,Ki,,,,=,Assay using purified recombinant pleckstrin homology domain of human PDK1,,,20197390
14,4-1BB,,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,urelumab,,,,,f,Antibody,Agonist,,Selective,f,t,,pKd,,,,Kd,,,,=,Dissociation constant for the 20H4-9-IgG4 clone binding to human 4-1BB,,,
15,4-1BB,,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,utomilumab,,,,,f,Antibody,Agonist,,Selective,f,t,,pKd,,,,Kd,,,,=,Binding to 4-1BB extracellular domain measured using a surface plasmon resonance (SPR) biosensor assay.,,,22406983
16,4-1BB,,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,4-1BB ligand,,TNFSF9,Human,,f,None,None,,Non-selective,t,,,-,,,,,,,,,,,,
17,4-aminobutyrate aminotransferase,,ABAT,P80404,ENSG00000183044,,,,,,,Human,4-acryloylphenol,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,16290145
18,4-aminobutyrate aminotransferase,,ABAT,P80404,ENSG00000183044,,,,,,,Human,CPP-115,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pKi,,,,Ki,,,,=,,,,22168767
19,4-aminobutyrate aminotransferase,,ABAT,P80404,ENSG00000183044,,,,,,,Human,vigabatrin,,,,,t,Inhibitor,Irreversible inhibition,,Not Determined,f,t,,pKi,,,,Ki,,,,=,,,,856582|22168767
20,4F2hc,,SLC3A2,P08195,ENSG00000168003,,,,,,,Human,IGN523,,,,,f,Antibody,Binding,,Selective,f,t,,pKd,,,,Kd,,,,=,,,,
