,receptor,family,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,['htr1aa']
1,5-HT2A receptor,5-Hydroxytryptamine receptors,"['htr2aa', 'htr2ab']"
2,5-HT2B receptor,5-Hydroxytryptamine receptors,['htr2b']
3,5-HT4 receptor,5-Hydroxytryptamine receptors,['htr4']
4,5-HT5A receptor,5-Hydroxytryptamine receptors,"['htr5aa', 'htr5ab']"
5,5-ht5b receptor,5-Hydroxytryptamine receptors,"['htr5aa', 'htr5ab']"
6,5-HT6 receptor,5-Hydroxytryptamine receptors,"['htr1b', 'htr1d', 'htr1ab', 'htr1fa']"
7,5-HT7 receptor,5-Hydroxytryptamine receptors,"['htr7a', 'HTR7', 'htr7a', 'HTR7']"
8,M1 receptor,Acetylcholine receptors (muscarinic),['chrm1a']
9,M2 receptor,Acetylcholine receptors (muscarinic),"['chrm2a', 'chrm2b']"
10,M3 receptor,Acetylcholine receptors (muscarinic),"['chrm3a', 'chrm3b']"
11,M4 receptor,Acetylcholine receptors (muscarinic),['chrm4a']
12,M5 receptor,Acetylcholine receptors (muscarinic),"['chrm5b', 'chrm5a']"
13,A1 receptor,Adenosine receptors,"['adora1a', 'adora1b']"
14,A2A receptor,Adenosine receptors,['adora2aa']
15,A2B receptor,Adenosine receptors,['adora2b']
16,A3 receptor,Adenosine receptors,"['CR847944.1', 'adora4a', 'CR847944.1', 'adora4a']"
17,ADGRA2,Adhesion Class GPCRs,['adgra2']
18,ADGRA3,Adhesion Class GPCRs,['adgra3']
19,ADGRB2,Adhesion Class GPCRs,['adgrb2']
20,ADGRB3,Adhesion Class GPCRs,['adgrb3']
21,CELSR1,Adhesion Class GPCRs,"['celsr1b', 'celsr1a']"
22,CELSR2,Adhesion Class GPCRs,['celsr2']
23,CELSR3,Adhesion Class GPCRs,['celsr3']
24,ADGRD1,Adhesion Class GPCRs,['adgrd1']
25,ADGRE5,Adhesion Class GPCRs,['si:ch211-241f5.3']
26,ADGRG2,Adhesion Class GPCRs,['adgrg4b']
27,ADGRG3,Adhesion Class GPCRs,['adgrg1']
28,ADGRG6,Adhesion Class GPCRs,['adgrg6']
29,ADGRG7,Adhesion Class GPCRs,"['adgrg7.2', 'adgrg7.1', 'adgrg7.2', 'adgrg7.1']"
30,ADGRL1,Adhesion Class GPCRs,['adgrl1a']
31,ADGRL2,Adhesion Class GPCRs,"['adgrl2a', 'si:ch1073-186i23.1', 'adgrl2b.1']"
32,ADGRL3,Adhesion Class GPCRs,"['adgrl3.1', 'ADGRL3']"
33,ADGRL4,Adhesion Class GPCRs,['adgrl4']
34,ADGRV1,Adhesion Class GPCRs,['adgrv1']
35,α1A-adrenoceptor,Adrenoceptors,['adra1aa']
36,α1B-adrenoceptor,Adrenoceptors,"['adra1ba', 'adra1bb']"
37,α1D-adrenoceptor,Adrenoceptors,['adra1d']
38,α2A-adrenoceptor,Adrenoceptors,"['adra2a', 'FP236542.1']"
39,α2B-adrenoceptor,Adrenoceptors,['adra2b']
40,α2C-adrenoceptor,Adrenoceptors,['adra2c']
41,β1-adrenoceptor,Adrenoceptors,['adrb1']
42,β2-adrenoceptor,Adrenoceptors,"['adrb2b', 'adrb2a']"
43,β3-adrenoceptor,Adrenoceptors,"['adrb3b', 'adrb3a']"
44,AT2 receptor,Angiotensin receptors,['agtr2']
45,apelin receptor,Apelin receptor,['aplnr2']
46,BB1 receptor,Bombesin receptors,['nmbr']
47,BB2 receptor,Bombesin receptors,['grpr']
48,B1 receptor,Bradykinin receptors,['bdkrb1']
49,B2 receptor,Bradykinin receptors,['si:dkey-63b1.1']
50,CT receptor,Calcitonin receptors,['calcr']
51,calcitonin receptor-like receptor,Calcitonin receptors,['calcrlb']
52,CaS receptor,Calcium-sensing receptor,['casr']
53,CB1 receptor,Cannabinoid receptors,['cnr1']
54,CB2 receptor,Cannabinoid receptors,['cnr2']
55,chemerin receptor 1,Chemerin receptors,"['cmklr1', 'cmklrl2', 'cmklrl2']"
56,chemerin receptor 2,Chemerin receptors,['gpr1']
57,CCR6,Chemokine receptors,"['ccr6b', 'ccr6a']"
58,CCR7,Chemokine receptors,['ccr7']
59,CCR8,Chemokine receptors,"['ccr11.1', 'ccr2', 'ccr2']"
60,CCR9,Chemokine receptors,"['ccr9a', 'ccr9b']"
61,CCR10,Chemokine receptors,['ccr10']
62,CXCR1,Chemokine receptors,['cxcr2']
63,CXCR2,Chemokine receptors,['cxcr2']
64,CXCR3,Chemokine receptors,"['cxcr3.1', 'cxcr3.3']"
65,CXCR4,Chemokine receptors,"['cxcr4b', 'cxcr4a']"
66,CXCR5,Chemokine receptors,['cxcr5']
67,CX3CR1,Chemokine receptors,"['ccr11.1', 'ccr2', 'ccr2']"
68,XCR1,Chemokine receptors,"['xcr1b.1', 'xcr1a.1']"
69,ACKR2,Chemokine receptors,['CU633991.1']
70,ACKR3,Chemokine receptors,"['ackr3b', 'ackr3a']"
71,ACKR4,Chemokine receptors,"['ackr4b', 'ackr4a']"
72,CCK1 receptor,Cholecystokinin receptors,['CCKAR']
73,CCK2 receptor,Cholecystokinin receptors,"['si:dkey-1h24.2', 'CCKBR']"
74,GPR3,Class A Orphans,['gpr186']
75,GPR4,Class A Orphans,['gpr4']
76,GPR6,Class A Orphans,['gpr6']
77,GPR12,Class A Orphans,['gpr12']
78,GPR17,Class A Orphans,['gpr17']
79,GPR18,Class A Orphans,['gpr18']
80,GPR19,Class A Orphans,['gpr19']
81,GPR22,Class A Orphans,"['gpr22a', 'gpr22b']"
82,GPR25,Class A Orphans,['gpr25']
83,GPR26,Class A Orphans,['gpr26']
84,GPR27,Class A Orphans,['gpr27']
85,GPR33,Class A Orphans,['CU571081.1']
86,GPR34,Class A Orphans,"['gpr34b', 'CABZ01118270.1']"
87,GPR35,Class A Orphans,"['gpr35.1', 'CT583662.1']"
88,GPR37,Class A Orphans,"['gpr37b', 'gpr37a']"
89,GPR37L1,Class A Orphans,"['gpr37l1a', 'gpr37l1b']"
90,GPR39,Class A Orphans,['gpr39']
91,GPR45,Class A Orphans,['GPR45']
92,GPR50,Class A Orphans,['mtnr1c']
93,GPR55,Class A Orphans,['gpr55a']
94,GPR61,Class A Orphans,['gpr61']
95,GPR63,Class A Orphans,['gpr63']
96,GPR65,Class A Orphans,['gpr65']
97,GPR68,Class A Orphans,"['GPR68', 'GPR68']"
98,GPR75,Class A Orphans,['gpr75']
99,GPR83,Class A Orphans,['GPR83']
100,GPR84,Class A Orphans,['gpr84']
101,GPR85,Class A Orphans,['gpr85']
102,GPR101,Class A Orphans,['gpr101']
103,GPR119,Class A Orphans,['AL935199.1']
104,GPR135,Class A Orphans,['gpr135']
105,GPR139,Class A Orphans,['gpr139']
106,GPR141,Class A Orphans,['si:dkey-94e7.1']
107,GPR142,Class A Orphans,['gpr142']
108,GPR151,Class A Orphans,['GPR151']
109,GPR153,Class A Orphans,['gpr153']
110,GPR160,Class A Orphans,['gpr160']
111,GPR161,Class A Orphans,"['gpr161', 'si:ch211-237c6.4']"
112,GPR171,Class A Orphans,['gpr171']
113,GPR173,Class A Orphans,['gpr173']
114,GPR176,Class A Orphans,['gpr176']
115,GPR182,Class A Orphans,['gpr182']
116,GPR183,Class A Orphans,"['gpr183a', 'gpr183b']"
117,LGR4,Class A Orphans,['lgr4']
118,P2RY10,Class A Orphans,['p2ry10']
119,TAAR5,Class A Orphans,"['taar13d', 'taar13b', 'taar13c', 'taar13a', 'taar13e']"
120,GPR156,Class C Orphans,['gpr156']
121,GPR158,Class C Orphans,"['gpr158a', 'gpr158b']"
122,GPR179,Class C Orphans,['si:ch211-156l18.8']
123,GPRC5A,Class C Orphans,['CABZ01109019.1']
124,GPRC5B,Class C Orphans,"['gprc5bb', 'gprc5ba']"
125,GPRC5C,Class C Orphans,['gprc5c']
126,GPRC5D,Class C Orphans,['CABZ01109019.1']
127,GPRC6 receptor,Class C Orphans,['gprc6a']
128,FZD1,Class Frizzled GPCRs,['fzd1']
129,FZD2,Class Frizzled GPCRs,['fzd2']
130,FZD3,Class Frizzled GPCRs,['fzd3a']
131,FZD4,Class Frizzled GPCRs,['fzd4']
132,FZD5,Class Frizzled GPCRs,['fzd5']
133,FZD6,Class Frizzled GPCRs,['fzd6']
