,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
0,4-1BB ligand,peptide,['Tnfsf9'],,,,,inferred from Human
1,5-LOX activating protein,peptide,['Alox5ap'],,,,,inferred from Human
2,ACTH,peptide,"['P', 'o', 'm', 'c']",,,,,inferred from Mouse
3,ADP-ribosylation factor 1,peptide,['Arf1'],,,,,inferred from Human
4,APRIL,peptide,['Tnfsf13'],,,,,inferred from Human
5,B and T lymphocyte attenuator,peptide,['Btla'],,,,,inferred from Human
6,BAFF,peptide,['Tnfsf13b'],,,,,inferred from Human
7,BDNF,peptide,['Bdnf'],,,,,inferred from Human
8,BMP-10,peptide,['Bmp10'],,,,,inferred from Human
9,BMP-2,peptide,['Bmp2'],,,,,inferred from Human
10,BMP-4,peptide,['Bmp4'],,,,,inferred from Human
11,BMP-5,peptide,['Bmp5'],,,,,inferred from Human
12,BMP-6,peptide,['Bmp6'],,,,,inferred from Human
13,BMP-7,peptide,['Bmp7'],,,,,inferred from Human
16,BMP-9,peptide,['Gdf2'],,,,,inferred from Human
17,C-type natriuretic peptide,peptide,['Nppc'],,,,,inferred from Human
18,C3a,peptide,['C3'],,,,,inferred from Human
19,C5a,peptide,['Hc'],,,,,inferred from Human
20,C5a des-Arg,peptide,['Hc'],,,,,inferred from Human
21,CCK-33,peptide,['Cck'],,,,,inferred from Human
22,CCK-4,peptide,['Cck'],,,,,inferred from Human
23,CCK-58,peptide,['Cck'],,,,,inferred from Human
24,CCK-8,peptide,"['C', 'c', 'k']",,,,,inferred from Mouse
26,CCL11,peptide,"['C', 'c', 'l', '1', '1']",,,,,inferred from Mouse
29,CCL15,peptide,"['Ccl6', 'Ccl9']",,,,,inferred from Human
31,CCL17,peptide,['Ccl17'],,,,,inferred from Human
32,CCL18,peptide,['Ccl3'],,,,,inferred from Human
33,CCL19,peptide,"['C', 'c', 'l', '1', '9']",,,,,inferred from Mouse
34,CCL2,peptide,['Ccl2'],,,,,inferred from Human
35,CCL20,peptide,['Ccl20'],,,,,inferred from Human
36,CCL21,peptide,"['Gm13304', 'Gm21541', 'Ccl21b', 'Ccl21a', 'Ccl21a', 'Ccl21b', 'Ccl21c', 'Gm10591', 'Ccl21c']",,,,,inferred from Human
37,CCL22,peptide,['Ccl22'],,,,,inferred from Human
38,CCL23,peptide,"['Ccl6', 'Ccl9']",,,,,inferred from Human
39,CCL24,peptide,['Ccl24'],,,,,inferred from Human
42,CCL27,peptide,"['Gm13306', 'Ccl27a', 'Ccl27a', 'Ccl27a', 'Ccl27b']",,,,,inferred from Human
43,CCL28,peptide,['Ccl28'],,,,,inferred from Human
44,CCL3,peptide,['Ccl3'],,,,,inferred from Human
45,CCL4,peptide,['Ccl4'],,,,,inferred from Human
46,CCL5,peptide,['Ccl5'],,,,,inferred from Human
47,CCL7,peptide,['Ccl12'],,,,,inferred from Human
48,CCL8,peptide,"['C', 'c', 'l', '8']",,,,,inferred from Mouse
49,CD30 ligand,peptide,['Tnfsf8'],,,,,inferred from Human
50,CD40 ligand,peptide,['Cd40lg'],,,,,inferred from Human
51,CD70,peptide,['Cd70'],,,,,inferred from Human
52,CRAMP,peptide,"['C', 'a', 'm', 'p']",,,,,inferred from Mouse
54,CST-17,peptide,['Cort'],,,,,inferred from Human
55,CX3CL1,peptide,['Cx3cl1'],,,,,inferred from Human
56,CXCL1,peptide,['Cxcl1'],,,,,inferred from Rat
57,CXCL10,peptide,['Cxcl10'],,,,,inferred from Human
58,CXCL11,peptide,['Cxcl11'],,,,,inferred from Human
59,CXCL12α,peptide,['Cxcl12'],,,,,inferred from Human
60,CXCL12β,peptide,['Cxcl12'],,,,,inferred from Human
61,CXCL12γ,peptide,['Cxcl12'],,,,,inferred from Human
62,CXCL12δ,peptide,['Cxcl12'],,,,,inferred from Human
63,CXCL12ε,peptide,['Cxcl12'],,,,,inferred from Human
64,CXCL12φ,peptide,['Cxcl12'],,,,,inferred from Human
65,CXCL13,peptide,['Cxcl13'],,,,,inferred from Human
66,CXCL16,peptide,['Cxcl16'],,,,,inferred from Human
67,CXCL17,peptide,['Cxcl17'],,,,,inferred from Human
71,CXCL6,peptide,['Cxcl5'],,,,,inferred from Human
72,CXCL7,peptide,['Ppbp'],,,,,inferred from Human
74,CXCL9,peptide,['Cxcl9'],,,,,inferred from Human
75,Ccl21a,peptide,"['C', 'c', 'l', '2', '1', 'a']",,,,,inferred from Mouse
76,Ccl21b,peptide,"['C', 'c', 'l', '2', '1', 'b']",,,,,inferred from Mouse
77,EGF,peptide,['Egf'],,,,,inferred from Human
81,F2L,peptide,['Hebp1'],,,,,inferred from Human
82,FLRT3,peptide,['Flrt3'],,,,,inferred from Rat
84,Fas ligand,peptide,['Fasl'],,,,,inferred from Human
85,Fms-related tyrosine kinase 3 ligand,peptide,['Flt3l'],,,,,inferred from Human
86,G-CSF,peptide,['Csf3'],,,,,inferred from Human
87,GHRH,peptide,['Ghrh'],,,,,inferred from Human
88,GM-CSF,peptide,['Csf2'],,,,,inferred from Human
89,GMAP(1-41),peptide,['Csf2'],,,,,inferred from Human
90,GMAP(44-59),peptide,['Csf2'],,,,,inferred from Human
91,GnRH I,peptide,"['G', 'n', 'r', 'h', '1']",,,,,inferred from Mouse
93,Guanylyl cyclase-activating protein 1,peptide,"['G', 'u', 'c', 'a', '1', 'a']",,,,,inferred from Mouse
94,Guanylyl cyclase-activating protein 2,peptide,"['G', 'u', 'c', 'a', '1', 'b']",,,,,inferred from Mouse
95,HB-EGF,peptide,['Hbegf'],,,,,inferred from Human
97,IFN-α10,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
98,IFN-α14,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
99,IFN-α16,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
100,IFN-α17,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
101,IFN-α2,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
102,IFN-α21,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
103,IFN-α4,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
104,IFN-α5,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
105,IFN-α6,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
106,IFN-α7,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
107,IFN-α8,peptide,"['Ifna13', 'Ifna4', 'Ifna12', 'Ifna2', 'Ifna16', 'Ifna9', 'Ifna1', 'Ifna14', 'Ifna15', 'Ifna5', 'Ifnab', 'Ifna11', 'Ifna7', 'Ifna6']",,,,,inferred from Human
108,IFN-β,peptide,['Ifnb1'],,,,,inferred from Human
109,IFN-γ,peptide,['Ifng'],,,,,inferred from Human
110,IFN-κ,peptide,['Ifnk'],,,,,inferred from Human
112,IFN-λ2,peptide,"['Ifnl2', 'Ifnl3']",,,,,inferred from Human
