,receptor,family,gene
0,5-HT2A receptor,5-Hydroxytryptamine receptors,['ser-6']
1,5-HT2B receptor,5-Hydroxytryptamine receptors,['ser-6']
2,5-HT2C receptor,5-Hydroxytryptamine receptors,['dop-1']
3,5-HT5A receptor,5-Hydroxytryptamine receptors,['ser-6']
4,5-ht5b receptor,5-Hydroxytryptamine receptors,['ser-6']
5,5-HT6 receptor,5-Hydroxytryptamine receptors,['dop-4']
6,CELSR1,Adhesion Class GPCRs,"['fmi-1', 'hmr-1', 'Y52B11A.11']"
7,CELSR2,Adhesion Class GPCRs,"['fmi-1', 'hmr-1', 'Y52B11A.11']"
8,CELSR3,Adhesion Class GPCRs,"['fmi-1', 'hmr-1', 'Y52B11A.11']"
9,α1A-adrenoceptor,Adrenoceptors,['ser-5']
10,α1B-adrenoceptor,Adrenoceptors,['ser-5']
11,α1D-adrenoceptor,Adrenoceptors,['ser-5']
12,α2A-adrenoceptor,Adrenoceptors,['ser-5']
13,α2B-adrenoceptor,Adrenoceptors,['ser-5']
14,α2C-adrenoceptor,Adrenoceptors,['ser-5']
15,β1-adrenoceptor,Adrenoceptors,['ser-5']
16,β2-adrenoceptor,Adrenoceptors,['ser-5']
17,β3-adrenoceptor,Adrenoceptors,['ser-5']
18,apelin receptor,Apelin receptor,['npr-17']
19,GPBA receptor,Bile acid receptor,"['npr-18', 'npr-26', 'npr-25', 'npr-28']"
20,B1 receptor,Bradykinin receptors,['npr-17']
21,B2 receptor,Bradykinin receptors,['npr-17']
22,CX3CR1,Chemokine receptors,['npr-20']
23,ACKR2,Chemokine receptors,['npr-20']
24,ACKR3,Chemokine receptors,['npr-20']
25,GPR15,Class A Orphans,['npr-17']
26,GPR17,Class A Orphans,['gnrr-4']
27,GPR18,Class A Orphans,['gnrr-4']
28,GPR22,Class A Orphans,['daf-38']
29,GPR25,Class A Orphans,['npr-17']
30,GPR37,Class A Orphans,['gnrr-5']
31,GPR37L1,Class A Orphans,['gnrr-5']
32,GPR83,Class A Orphans,['tkr-3']
33,GPR84,Class A Orphans,['dop-1']
34,GPR101,Class A Orphans,['ser-5']
35,GPR139,Class A Orphans,"['srw-1', 'srw-2', 'srw-3', 'srw-4', 'srw-6', 'srw-7', 'srw-8', 'srw-9', 'srw-10', 'srw-11', 'srw-12', 'srw-13', 'srw-14', 'srw-15', 'srw-16', 'srw-17', 'srw-19', 'srw-20', 'srw-21', 'srw-22', 'srw-23', 'srw-24', 'srw-26', 'srw-29', 'srw-31', 'srw-32', 'srw-33', 'srw-34', 'srw-35', 'srw-38', 'srw-40', 'srw-41', 'srw-42', 'srw-43', 'srw-44', 'srw-48', 'srw-51', 'srw-53', 'srw-54', 'srw-55', 'srw-56', 'srw-57', 'srw-59', 'srw-60', 'srw-61', 'srw-62', 'srw-63', 'srw-66', 'srw-67', 'srw-68', 'srw-69', 'srw-71', 'srw-73', 'srw-76', 'srw-77', 'srw-79', 'srw-82', 'srw-83', 'srw-84', 'srw-85', 'srw-87', 'srw-88', 'srw-89', 'srw-90', 'srw-91', 'srw-94', 'srw-95', 'srw-97', 'srw-98', 'srw-99', 'srw-100', 'srw-101', 'srw-102', 'srw-103', 'srw-107', 'srw-109', 'srw-111', 'srw-112', 'srw-113', 'srw-115', 'srw-117', 'srw-118', 'srw-119', 'srw-120', 'srw-121', 'srw-122', 'srw-123', 'srw-124', 'srw-127', 'srw-129', 'srw-130', 'srw-133', 'srw-134', 'srw-136', 'srw-137', 'srw-138', 'srw-139', 'srw-140', 'srw-141', 'srw-142', 'srw-143', 'srw-144', 'C54D10.5', 'H09F14.1', 'sprr-1', 'T27C5.10', 'B0563.6', 'frpr-1', 'frpr-4', 'D1014.2', 'D1079.1', 'F20A1.2', 'frpr-6', 'dmsr-12', 'frpr-11', 'frpr-12', 'frpr-13', 'R11F4.2', 'dmsr-14', 'dmsr-13', 'dmsr-15', 'sprr-3', 'dmsr-10', 'dmsr-11', 'dmsr-9', 'C25F9.13', 'M03F8.7', 'dmsr-16', 'D1014.13']"
36,GPR142,Class A Orphans,"['srw-1', 'srw-2', 'srw-3', 'srw-4', 'srw-6', 'srw-7', 'srw-8', 'srw-9', 'srw-10', 'srw-11', 'srw-12', 'srw-13', 'srw-14', 'srw-15', 'srw-16', 'srw-17', 'srw-19', 'srw-20', 'srw-21', 'srw-22', 'srw-23', 'srw-24', 'srw-26', 'srw-29', 'srw-31', 'srw-32', 'srw-33', 'srw-34', 'srw-35', 'srw-38', 'srw-40', 'srw-41', 'srw-42', 'srw-43', 'srw-44', 'srw-48', 'srw-51', 'srw-53', 'srw-54', 'srw-55', 'srw-56', 'srw-57', 'srw-59', 'srw-60', 'srw-61', 'srw-62', 'srw-63', 'srw-66', 'srw-67', 'srw-68', 'srw-69', 'srw-71', 'srw-73', 'srw-76', 'srw-77', 'srw-79', 'srw-82', 'srw-83', 'srw-84', 'srw-85', 'srw-87', 'srw-88', 'srw-89', 'srw-90', 'srw-91', 'srw-94', 'srw-95', 'srw-97', 'srw-98', 'srw-99', 'srw-100', 'srw-101', 'srw-102', 'srw-103', 'srw-107', 'srw-109', 'srw-111', 'srw-112', 'srw-113', 'srw-115', 'srw-117', 'srw-118', 'srw-119', 'srw-120', 'srw-121', 'srw-122', 'srw-123', 'srw-124', 'srw-127', 'srw-129', 'srw-130', 'srw-133', 'srw-134', 'srw-136', 'srw-137', 'srw-138', 'srw-139', 'srw-140', 'srw-141', 'srw-142', 'srw-143', 'srw-144', 'C54D10.5', 'H09F14.1', 'sprr-1', 'T27C5.10', 'B0563.6', 'frpr-1', 'frpr-4', 'D1014.2', 'D1079.1', 'F20A1.2', 'frpr-6', 'dmsr-12', 'frpr-11', 'frpr-12', 'frpr-13', 'R11F4.2', 'dmsr-14', 'dmsr-13', 'dmsr-15', 'sprr-3', 'dmsr-10', 'dmsr-11', 'dmsr-9', 'C25F9.13', 'M03F8.7', 'dmsr-16', 'D1014.13']"
37,GPR156,Class C Orphans,['gbb-2']
38,FZD1,Class Frizzled GPCRs,['sfrp-1']
39,FZD4,Class Frizzled GPCRs,['lin-17']
40,FZD5,Class Frizzled GPCRs,"['cfz-2', 'sfrp-1']"
41,D2 receptor,Dopamine receptors,['ser-5']
42,FFA4 receptor,Free fatty acid receptors,['daf-38']
43,GABAB1,GABAB receptors,['gbb-1']
44,GABAB2,GABAB receptors,['gbb-2']
45,GAL2 receptor,Galanin receptors,['npr-20']
46,FSH receptor,Glycoprotein hormone receptors,['fshr-1']
47,LH receptor,Glycoprotein hormone receptors,['fshr-1']
48,TSH receptor,Glycoprotein hormone receptors,['fshr-1']
49,GnRH1 receptor,Gonadotrophin-releasing hormone receptors,['gnrr-1']
50,GPR18,"GPR18, GPR55 and GPR119",['gnrr-4']
51,kisspeptin receptor,Kisspeptin receptor,"['npr-16', 'npr-32', 'npr-24']"
52,mGlu1 receptor,Metabotropic glutamate receptors,"['mgl-2', 'C30A5.10', 'F35H10.10']"
53,mGlu2 receptor,Metabotropic glutamate receptors,"['mgl-1', 'mgl-3']"
54,mGlu3 receptor,Metabotropic glutamate receptors,"['mgl-1', 'mgl-3']"
55,mGlu5 receptor,Metabotropic glutamate receptors,"['mgl-2', 'C30A5.10', 'F35H10.10']"
56,NMU1 receptor,Neuromedin U receptors,"['nmur-1', 'nmur-2']"
57,NMU2 receptor,Neuromedin U receptors,"['nmur-1', 'nmur-2']"
58,OPN3,Opsin receptors,['sro-1']
59,OX1 receptor,Orexin receptors,['daf-38']
60,OX2 receptor,Orexin receptors,['daf-38']
61,GPR107,Other 7TM proteins,['C15H9.5']
62,TPRA1,Other 7TM proteins,['tpra-1']
63,PAR1,Proteinase-activated receptors,['gnrr-4']
64,NK1 receptor,Tachykinin receptors,['tkr-1']
65,NK2 receptor,Tachykinin receptors,['tkr-2']
66,NK3 receptor,Tachykinin receptors,['tkr-1']
67,TRH1 receptor,Thyrotropin-releasing hormone receptors,['npr-35']
68,TRH2 receptor,Thyrotropin-releasing hormone receptors,['npr-35']
69,UT receptor,Urotensin receptor,['npr-20']
70,Hepatocyte nuclear factor-4-α,2A. Hepatocyte nuclear factor-4 receptors,"['nhr-32', 'nhr-60', 'nhr-69', 'nhr-93', 'nhr-116', 'nhr-129', 'nhr-136', 'nhr-154', 'nhr-168', 'nhr-206', 'nhr-207', 'nhr-208', 'nhr-209', 'nhr-147', 'nhr-148', 'nhr-149', 'nhr-152', 'nhr-173', 'nhr-36', 'nhr-141', 'nhr-221', 'nhr-239', 'nhr-41', 'ZK418.11']"
71,Hepatocyte nuclear factor-4-γ,2A. Hepatocyte nuclear factor-4 receptors,"['nhr-32', 'nhr-60', 'nhr-69', 'nhr-93', 'nhr-116', 'nhr-129', 'nhr-136', 'nhr-154', 'nhr-168', 'nhr-206', 'nhr-207', 'nhr-208', 'nhr-209', 'nhr-147', 'nhr-148', 'nhr-149', 'nhr-152', 'nhr-173', 'nhr-36', 'nhr-141', 'nhr-221', 'nhr-239', 'nhr-41', 'ZK418.11']"
