,receptor,family,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,['5-HT7']
1,5-HT1B receptor,5-Hydroxytryptamine receptors,['5-HT7']
2,5-HT1D receptor,5-Hydroxytryptamine receptors,['5-HT7']
3,5-HT1F receptor,5-Hydroxytryptamine receptors,['5-HT7']
4,5-HT2A receptor,5-Hydroxytryptamine receptors,['5-HT2A']
5,5-HT2B receptor,5-Hydroxytryptamine receptors,['5-HT2A']
6,5-HT5A receptor,5-Hydroxytryptamine receptors,"['5-HT1A', '5-HT1B']"
7,5-ht5b receptor,5-Hydroxytryptamine receptors,"['5-HT1A', '5-HT1B']"
8,5-HT6 receptor,5-Hydroxytryptamine receptors,['Dop1R1']
9,5-HT7 receptor,5-Hydroxytryptamine receptors,"['5-HT7', '5-HT7']"
10,A2A receptor,Adenosine receptors,['AdoR']
11,A2B receptor,Adenosine receptors,['AdoR']
12,CELSR1,Adhesion Class GPCRs,['stan']
13,CELSR2,Adhesion Class GPCRs,['stan']
14,CELSR3,Adhesion Class GPCRs,['stan']
15,BB1 receptor,Bombesin receptors,"['CCHa2-R', 'CCHa1-R']"
16,BB2 receptor,Bombesin receptors,"['CCHa2-R', 'CCHa1-R']"
17,BB3 receptor,Bombesin receptors,"['CCHa2-R', 'CCHa1-R']"
18,CX3CR1,Chemokine receptors,"['AstA-R2', 'AstA-R1']"
19,ACKR2,Chemokine receptors,"['AstA-R2', 'AstA-R1']"
20,ACKR3,Chemokine receptors,"['AstA-R2', 'AstA-R1']"
21,CCK1 receptor,Cholecystokinin receptors,"['CCKLR-17D3', 'CCKLR-17D1']"
22,CCK2 receptor,Cholecystokinin receptors,"['CCKLR-17D3', 'CCKLR-17D1']"
23,BB3 receptor,Class A Orphans,"['CCHa2-R', 'CCHa1-R']"
24,GPR139,Class A Orphans,"['Proc-R', 'SPR', 'CG15614', 'FMRFaR', 'CG33639', 'CNMaR']"
25,GPR142,Class A Orphans,"['Proc-R', 'SPR', 'CG15614', 'FMRFaR', 'CG33639', 'CNMaR']"
26,GPR156,Class C Orphans,['GABA-B-R2']
