,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
1,5-LOX activating protein,peptide,['alox5ap'],,,,,inferred from Human
2,ACTH,peptide,"['pomca', 'pomcb']",,,,,inferred from Mouse
3,ADP-ribosylation factor 1,peptide,['arf2a'],,,,,inferred from Human
6,BAFF,peptide,['tnfsf13b'],,,,,inferred from Human
7,BDNF,peptide,['bdnf'],,,,,inferred from Human
8,BMP-10,peptide,"['bmp10', 'bmp10l']",,,,,inferred from Human
9,BMP-2,peptide,"['bmp2a', 'bmp2b']",,,,,inferred from Human
10,BMP-4,peptide,['bmp4'],,,,,inferred from Human
11,BMP-5,peptide,['bmp5'],,,,,inferred from Human
12,BMP-6,peptide,['bmp6'],,,,,inferred from Human
13,BMP-7,peptide,"['bmp7a', 'bmp7b']",,,,,inferred from Human
14,BMP-8A,peptide,['bmp8a'],,,,,inferred from Human
15,BMP-8B,peptide,['bmp8a'],,,,,inferred from Human
16,BMP-9,peptide,['gdf2'],,,,,inferred from Human
17,C-type natriuretic peptide,peptide,['nppc'],,,,,inferred from Human
18,C3a,peptide,"['c3b.2', 'c3b.1']",,,,,inferred from Human
19,C5a,peptide,['c5'],,,,,inferred from Human
20,C5a des-Arg,peptide,['c5'],,,,,inferred from Human
21,CCK-33,peptide,"['ccka', 'cckb']",,,,,inferred from Human
22,CCK-39,peptide,"['ccka', 'cckb']",,,,,inferred from Human
23,CCK-4,peptide,"['ccka', 'cckb']",,,,,inferred from Human
24,CCK-58,peptide,"['ccka', 'cckb']",,,,,inferred from Human
25,CCK-8,peptide,"['ccka', 'cckb']",,,,,inferred from Mouse
26,CCL1,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
27,CCL11,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Mouse
28,CCL13,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
35,CCL2,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
40,CCL24,peptide,"['ccl35.2', 'ccl35.1']",,,,,inferred from Human
42,CCL26,peptide,"['ccl35.2', 'ccl35.1']",,,,,inferred from Human
43,CCL27,peptide,"['ccl27a', 'ccl27b']",,,,,inferred from Human
44,CCL28,peptide,"['ccl27a', 'ccl27b']",,,,,inferred from Human
48,CCL7,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
49,CCL8,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Mouse
53,CLUL1 (52-77),peptide,['clul1'],,,,,inferred from Human
56,CST-17,peptide,['cenps'],,,,,inferred from Human
57,CX3CL1,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
61,CXCL12α,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
62,CXCL12β,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
63,CXCL12γ,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
