,receptor,family,type,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1A']
1,5-HT1B receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1B']
2,5-HT1D receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1D']
3,5-ht1e receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1E']
4,5-HT1F receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1F']
5,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2A']
6,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2B']
7,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2C']
8,5-HT4 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR4']
9,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR5A']
10,5-ht5b receptor,5-Hydroxytryptamine receptors,gpcr,['HTR5BP']
11,5-HT6 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR6']
12,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR7']
13,M1 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM1']
14,M2 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM2']
15,M3 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM3']
16,M4 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM4']
17,M5 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM5']
18,A1 receptor,Adenosine receptors,gpcr,['ADORA1']
19,A2A receptor,Adenosine receptors,gpcr,['ADORA2A']
20,A2B receptor,Adenosine receptors,gpcr,['ADORA2B']
21,A3 receptor,Adenosine receptors,gpcr,['ADORA3']
22,ADGRA1,Adhesion Class GPCRs,gpcr,['ADGRA1']
23,ADGRA2,Adhesion Class GPCRs,gpcr,['ADGRA2']
24,ADGRA3,Adhesion Class GPCRs,gpcr,['ADGRA3']
25,ADGRB1,Adhesion Class GPCRs,gpcr,['ADGRB1']
26,ADGRB2,Adhesion Class GPCRs,gpcr,['ADGRB2']
27,ADGRB3,Adhesion Class GPCRs,gpcr,['ADGRB3']
28,CELSR1,Adhesion Class GPCRs,gpcr,['CELSR1']
29,CELSR2,Adhesion Class GPCRs,gpcr,['CELSR2']
30,CELSR3,Adhesion Class GPCRs,gpcr,['CELSR3']
31,ADGRD1,Adhesion Class GPCRs,gpcr,['ADGRD1']
32,ADGRD2,Adhesion Class GPCRs,gpcr,['ADGRD2']
33,ADGRE1,Adhesion Class GPCRs,gpcr,['ADGRE1']
34,ADGRE2,Adhesion Class GPCRs,gpcr,['ADGRE2']
35,ADGRE3,Adhesion Class GPCRs,gpcr,['ADGRE3']
36,ADGRE4P,Adhesion Class GPCRs,gpcr,['ADGRE4P']
37,ADGRE5,Adhesion Class GPCRs,gpcr,['ADGRE5']
38,ADGRF1,Adhesion Class GPCRs,gpcr,['ADGRF1']
39,ADGRF2,Adhesion Class GPCRs,gpcr,['ADGRF2']
40,ADGRF3,Adhesion Class GPCRs,gpcr,['ADGRF3']
41,ADGRF4,Adhesion Class GPCRs,gpcr,['ADGRF4']
42,ADGRF5,Adhesion Class GPCRs,gpcr,['ADGRF5']
43,ADGRG1,Adhesion Class GPCRs,gpcr,['ADGRG1']
44,ADGRG2,Adhesion Class GPCRs,gpcr,['ADGRG2']
45,ADGRG3,Adhesion Class GPCRs,gpcr,['ADGRG3']
46,ADGRG4,Adhesion Class GPCRs,gpcr,['ADGRG4']
47,ADGRG5,Adhesion Class GPCRs,gpcr,['ADGRG5']
48,ADGRG6,Adhesion Class GPCRs,gpcr,['ADGRG6']
49,ADGRG7,Adhesion Class GPCRs,gpcr,['ADGRG7']
50,ADGRL1,Adhesion Class GPCRs,gpcr,['ADGRL1']
51,ADGRL2,Adhesion Class GPCRs,gpcr,['ADGRL2']
52,ADGRL3,Adhesion Class GPCRs,gpcr,['ADGRL3']
53,ADGRL4,Adhesion Class GPCRs,gpcr,['ADGRL4']
54,ADGRV1,Adhesion Class GPCRs,gpcr,['ADGRV1']
55,α1A-adrenoceptor,Adrenoceptors,gpcr,['ADRA1A']
56,α1B-adrenoceptor,Adrenoceptors,gpcr,['ADRA1B']
57,α1D-adrenoceptor,Adrenoceptors,gpcr,['ADRA1D']
58,α2A-adrenoceptor,Adrenoceptors,gpcr,['ADRA2A']
59,α2B-adrenoceptor,Adrenoceptors,gpcr,['ADRA2B']
60,α2C-adrenoceptor,Adrenoceptors,gpcr,['ADRA2C']
61,β1-adrenoceptor,Adrenoceptors,gpcr,['ADRB1']
62,β2-adrenoceptor,Adrenoceptors,gpcr,['ADRB2']
63,β3-adrenoceptor,Adrenoceptors,gpcr,['ADRB3']
64,AT1 receptor,Angiotensin receptors,gpcr,['AGTR1']
65,AT2 receptor,Angiotensin receptors,gpcr,['AGTR2']
66,apelin receptor,Apelin receptor,gpcr,['APLNR']
67,GPBA receptor,Bile acid receptor,gpcr,['GPBAR1']
68,BB1 receptor,Bombesin receptors,gpcr,['NMBR']
69,BB2 receptor,Bombesin receptors,gpcr,['GRPR']
70,BB3 receptor,Bombesin receptors,gpcr,['BRS3']
71,B1 receptor,Bradykinin receptors,gpcr,['BDKRB1']
72,B2 receptor,Bradykinin receptors,gpcr,['BDKRB2']
73,CT receptor,Calcitonin receptors,gpcr,['CALCR']
74,calcitonin receptor-like receptor,Calcitonin receptors,gpcr,['CALCRL']
75,CaS receptor,Calcium-sensing receptor,gpcr,['CASR']
76,CB1 receptor,Cannabinoid receptors,gpcr,['CNR1']
77,CB2 receptor,Cannabinoid receptors,gpcr,['CNR2']
78,chemerin receptor 1,Chemerin receptors,gpcr,['CMKLR1']
79,chemerin receptor 2,Chemerin receptors,gpcr,['GPR1']
80,CCR1,Chemokine receptors,gpcr,['CCR1']
81,CCR2,Chemokine receptors,gpcr,['CCR2']
82,CCR3,Chemokine receptors,gpcr,['CCR3']
83,CCR4,Chemokine receptors,gpcr,['CCR4']
84,CCR5,Chemokine receptors,gpcr,['CCR5']
85,CCR6,Chemokine receptors,gpcr,['CCR6']
86,CCR7,Chemokine receptors,gpcr,['CCR7']
87,CCR8,Chemokine receptors,gpcr,['CCR8']
88,CCR9,Chemokine receptors,gpcr,['CCR9']
89,CCR10,Chemokine receptors,gpcr,['CCR10']
90,CXCR1,Chemokine receptors,gpcr,['CXCR1']
91,CXCR2,Chemokine receptors,gpcr,['CXCR2']
92,CXCR3,Chemokine receptors,gpcr,['CXCR3']
93,CXCR4,Chemokine receptors,gpcr,['CXCR4']
94,CXCR5,Chemokine receptors,gpcr,['CXCR5']
95,CXCR6,Chemokine receptors,gpcr,['CXCR6']
96,CX3CR1,Chemokine receptors,gpcr,['CX3CR1']
97,XCR1,Chemokine receptors,gpcr,['XCR1']
98,ACKR1,Chemokine receptors,gpcr,['ACKR1']
99,ACKR2,Chemokine receptors,gpcr,['ACKR2']
100,ACKR3,Chemokine receptors,gpcr,['ACKR3']
101,ACKR4,Chemokine receptors,gpcr,['ACKR4']
102,CCRL2,Chemokine receptors,gpcr,['CCRL2']
103,CCK1 receptor,Cholecystokinin receptors,gpcr,['CCKAR']
104,CCK2 receptor,Cholecystokinin receptors,gpcr,['CCKBR']
105,GPR3,Class A Orphans,gpcr,['GPR3']
106,BB3 receptor,Class A Orphans,gpcr,['BRS3']
107,GPR4,Class A Orphans,gpcr,['GPR4']
108,GPR42,Class A Orphans,gpcr,['GPR42']
109,GPR6,Class A Orphans,gpcr,['GPR6']
110,GPR12,Class A Orphans,gpcr,['GPR12']
111,GPR15,Class A Orphans,gpcr,['GPR15']
112,GPR17,Class A Orphans,gpcr,['GPR17']
113,GPR18,Class A Orphans,gpcr,['GPR18']
114,GPR19,Class A Orphans,gpcr,['GPR19']
115,GPR20,Class A Orphans,gpcr,['GPR20']
116,GPR21,Class A Orphans,gpcr,['GPR21']
117,GPR22,Class A Orphans,gpcr,['GPR22']
118,GPR25,Class A Orphans,gpcr,['GPR25']
119,GPR26,Class A Orphans,gpcr,['GPR26']
120,GPR27,Class A Orphans,gpcr,['GPR27']
121,GPR31,Class A Orphans,gpcr,['GPR31']
122,GPR32,Class A Orphans,gpcr,['GPR32']
123,GPR33,Class A Orphans,gpcr,['GPR33']
124,GPR34,Class A Orphans,gpcr,['GPR34']
125,GPR35,Class A Orphans,gpcr,['GPR35']
126,GPR37,Class A Orphans,gpcr,['GPR37']
127,GPR37L1,Class A Orphans,gpcr,['GPR37L1']
128,GPR39,Class A Orphans,gpcr,['GPR39']
129,GPR45,Class A Orphans,gpcr,['GPR45']
130,GPR50,Class A Orphans,gpcr,['GPR50']
131,GPR52,Class A Orphans,gpcr,['GPR52']
132,GPR55,Class A Orphans,gpcr,['GPR55']
133,GPR61,Class A Orphans,gpcr,['GPR61']
134,GPR62,Class A Orphans,gpcr,['GPR62']
135,GPR63,Class A Orphans,gpcr,['GPR63']
136,GPR65,Class A Orphans,gpcr,['GPR65']
137,GPR68,Class A Orphans,gpcr,['GPR68']
138,GPR75,Class A Orphans,gpcr,['GPR75']
139,GPR78,Class A Orphans,gpcr,['GPR78']
140,GPR79,Class A Orphans,gpcr,['GPR79']
141,GPR82,Class A Orphans,gpcr,['GPR82']
142,GPR83,Class A Orphans,gpcr,['GPR83']
143,GPR84,Class A Orphans,gpcr,['GPR84']
144,GPR85,Class A Orphans,gpcr,['GPR85']
145,GPR87,Class A Orphans,gpcr,['GPR87']
146,GPR88,Class A Orphans,gpcr,['GPR88']
147,GPR101,Class A Orphans,gpcr,['GPR101']
148,GPR119,Class A Orphans,gpcr,['GPR119']
149,GPR132,Class A Orphans,gpcr,['GPR132']
150,GPR135,Class A Orphans,gpcr,['GPR135']
151,GPR139,Class A Orphans,gpcr,['GPR139']
152,GPR141,Class A Orphans,gpcr,['GPR141']
153,GPR142,Class A Orphans,gpcr,['GPR142']
154,GPR146,Class A Orphans,gpcr,['GPR146']
155,GPR148,Class A Orphans,gpcr,['GPR148']
156,GPR149,Class A Orphans,gpcr,['GPR149']
157,GPR150,Class A Orphans,gpcr,['GPR150']
158,GPR151,Class A Orphans,gpcr,['GPR151']
159,GPR152,Class A Orphans,gpcr,['GPR152']
160,GPR153,Class A Orphans,gpcr,['GPR153']
161,GPR160,Class A Orphans,gpcr,['GPR160']
162,GPR161,Class A Orphans,gpcr,['GPR161']
163,GPR162,Class A Orphans,gpcr,['GPR162']
164,GPR171,Class A Orphans,gpcr,['GPR171']
165,GPR173,Class A Orphans,gpcr,['GPR173']
166,GPR174,Class A Orphans,gpcr,['GPR174']
167,GPR176,Class A Orphans,gpcr,['GPR176']
168,GPR182,Class A Orphans,gpcr,['GPR182']
169,GPR183,Class A Orphans,gpcr,['GPR183']
170,LGR4,Class A Orphans,gpcr,['LGR4']
171,LGR5,Class A Orphans,gpcr,['LGR5']
172,LGR6,Class A Orphans,gpcr,['LGR6']
173,MAS1,Class A Orphans,gpcr,['MAS1']
174,MAS1L,Class A Orphans,gpcr,['MAS1L']
175,MRGPRD,Class A Orphans,gpcr,['MRGPRD']
176,MRGPRE,Class A Orphans,gpcr,['MRGPRE']
177,MRGPRF,Class A Orphans,gpcr,['MRGPRF']
