,receptor,family,type,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,gpcr,['Htr1a']
1,5-HT1B receptor,5-Hydroxytryptamine receptors,gpcr,['Htr1b']
2,5-HT1F receptor,5-Hydroxytryptamine receptors,gpcr,['Htr1f']
3,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,['Htr2a']
4,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['Htr2b']
5,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,['Htr2c']
6,5-HT4 receptor,5-Hydroxytryptamine receptors,gpcr,['Htr4']
7,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,['Htr5a']
8,5-HT6 receptor,5-Hydroxytryptamine receptors,gpcr,['Htr6']
9,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,['Htr7']
10,M1 receptor,Acetylcholine receptors (muscarinic),gpcr,['Chrm1']
11,M2 receptor,Acetylcholine receptors (muscarinic),gpcr,['Chrm2']
12,M3 receptor,Acetylcholine receptors (muscarinic),gpcr,['Chrm3']
13,M4 receptor,Acetylcholine receptors (muscarinic),gpcr,['Chrm4']
14,M5 receptor,Acetylcholine receptors (muscarinic),gpcr,['Chrm5']
15,A1 receptor,Adenosine receptors,gpcr,['Adora1']
16,A2A receptor,Adenosine receptors,gpcr,['Adora2a']
17,A2B receptor,Adenosine receptors,gpcr,['Adora2b']
18,A3 receptor,Adenosine receptors,gpcr,"['Adora3', 'Tmigd3']"
19,ADGRA1,Adhesion Class GPCRs,gpcr,['Adgra1']
20,ADGRA2,Adhesion Class GPCRs,gpcr,['Adgra2']
21,ADGRA3,Adhesion Class GPCRs,gpcr,['Adgra3']
22,ADGRB1,Adhesion Class GPCRs,gpcr,['Adgrb1']
23,ADGRB2,Adhesion Class GPCRs,gpcr,['Adgrb2']
24,ADGRB3,Adhesion Class GPCRs,gpcr,['Adgrb3']
25,CELSR1,Adhesion Class GPCRs,gpcr,['Celsr1']
26,CELSR2,Adhesion Class GPCRs,gpcr,['Celsr2']
27,CELSR3,Adhesion Class GPCRs,gpcr,['Celsr3']
28,ADGRD1,Adhesion Class GPCRs,gpcr,['Adgrd1']
29,ADGRE1,Adhesion Class GPCRs,gpcr,['Adgre1']
30,ADGRE5,Adhesion Class GPCRs,gpcr,['Adgre5']
31,ADGRF1,Adhesion Class GPCRs,gpcr,['Adgrf1']
32,ADGRF2,Adhesion Class GPCRs,gpcr,['Adgrf2']
33,ADGRF3,Adhesion Class GPCRs,gpcr,['Adgrf3']
34,ADGRF4,Adhesion Class GPCRs,gpcr,['Adgrf4']
35,ADGRF5,Adhesion Class GPCRs,gpcr,['Adgrf5']
36,ADGRG1,Adhesion Class GPCRs,gpcr,['Adgrg1']
37,ADGRG2,Adhesion Class GPCRs,gpcr,['Adgrg2']
38,ADGRG3,Adhesion Class GPCRs,gpcr,['Adgrg3']
39,ADGRG4,Adhesion Class GPCRs,gpcr,['Adgrg4']
40,ADGRG5,Adhesion Class GPCRs,gpcr,['Adgrg5']
41,ADGRG6,Adhesion Class GPCRs,gpcr,['Adgrg6']
42,ADGRG7,Adhesion Class GPCRs,gpcr,['Adgrg7']
43,ADGRL1,Adhesion Class GPCRs,gpcr,['Adgrl1']
44,ADGRL2,Adhesion Class GPCRs,gpcr,['Adgrl2']
45,ADGRL3,Adhesion Class GPCRs,gpcr,['Adgrl3']
46,ADGRL4,Adhesion Class GPCRs,gpcr,['Adgrl4']
47,ADGRV1,Adhesion Class GPCRs,gpcr,['Adgrv1']
48,α1A-adrenoceptor,Adrenoceptors,gpcr,['Adra1a']
49,α1B-adrenoceptor,Adrenoceptors,gpcr,['Adra1b']
50,α1D-adrenoceptor,Adrenoceptors,gpcr,['Adra1d']
51,α2A-adrenoceptor,Adrenoceptors,gpcr,['Adra2a']
52,α2B-adrenoceptor,Adrenoceptors,gpcr,['Adra2b']
53,α2C-adrenoceptor,Adrenoceptors,gpcr,['Adra2c']
54,β1-adrenoceptor,Adrenoceptors,gpcr,['Adrb1']
55,β2-adrenoceptor,Adrenoceptors,gpcr,['Adrb2']
56,β3-adrenoceptor,Adrenoceptors,gpcr,['Adrb3']
57,AT1 receptor,Angiotensin receptors,gpcr,"['Agtr1a', 'Agtr1b']"
58,AT2 receptor,Angiotensin receptors,gpcr,['Agtr2']
59,apelin receptor,Apelin receptor,gpcr,['Aplnr']
60,GPBA receptor,Bile acid receptor,gpcr,['Gpbar1']
61,BB1 receptor,Bombesin receptors,gpcr,['Nmbr']
62,BB2 receptor,Bombesin receptors,gpcr,['Grpr']
63,BB3 receptor,Bombesin receptors,gpcr,['Brs3']
64,B1 receptor,Bradykinin receptors,gpcr,['Bdkrb1']
65,B2 receptor,Bradykinin receptors,gpcr,['Bdkrb2']
66,CT receptor,Calcitonin receptors,gpcr,['Calcr']
67,calcitonin receptor-like receptor,Calcitonin receptors,gpcr,['Calcrl']
68,CaS receptor,Calcium-sensing receptor,gpcr,['Casr']
69,CB1 receptor,Cannabinoid receptors,gpcr,['Cnr1']
70,CB2 receptor,Cannabinoid receptors,gpcr,['Cnr2']
71,chemerin receptor 1,Chemerin receptors,gpcr,['Cmklr1']
72,chemerin receptor 2,Chemerin receptors,gpcr,['Gpr1']
73,CCR1,Chemokine receptors,gpcr,"['Ccr1', 'Ccr1l1']"
74,CCR2,Chemokine receptors,gpcr,['Ccr2']
75,CCR3,Chemokine receptors,gpcr,['Ccr3']
76,CCR4,Chemokine receptors,gpcr,['Ccr4']
77,CCR5,Chemokine receptors,gpcr,['Ccr5']
78,CCR6,Chemokine receptors,gpcr,['Ccr6']
79,CCR7,Chemokine receptors,gpcr,['Ccr7']
80,CCR8,Chemokine receptors,gpcr,['Ccr8']
81,CCR9,Chemokine receptors,gpcr,['Ccr9']
82,CCR10,Chemokine receptors,gpcr,['Ccr10']
83,CXCR1,Chemokine receptors,gpcr,['Cxcr1']
84,CXCR2,Chemokine receptors,gpcr,['Cxcr2']
85,CXCR3,Chemokine receptors,gpcr,['Cxcr3']
86,CXCR4,Chemokine receptors,gpcr,['Cxcr4']
87,CXCR5,Chemokine receptors,gpcr,['Cxcr5']
88,CXCR6,Chemokine receptors,gpcr,['Cxcr6']
89,CX3CR1,Chemokine receptors,gpcr,['Cx3cr1']
90,XCR1,Chemokine receptors,gpcr,['Xcr1']
91,ACKR1,Chemokine receptors,gpcr,['Ackr1']
92,ACKR2,Chemokine receptors,gpcr,['Ackr2']
93,ACKR3,Chemokine receptors,gpcr,['Ackr3']
94,ACKR4,Chemokine receptors,gpcr,['Ackr4']
95,CCRL2,Chemokine receptors,gpcr,['Ccrl2']
96,CCK1 receptor,Cholecystokinin receptors,gpcr,['Cckar']
97,CCK2 receptor,Cholecystokinin receptors,gpcr,['Cckbr']
98,GPR3,Class A Orphans,gpcr,['Gpr3']
99,BB3 receptor,Class A Orphans,gpcr,['Brs3']
100,GPR4,Class A Orphans,gpcr,['Gpr4']
101,GPR42,Class A Orphans,gpcr,['Ffar3']
102,GPR6,Class A Orphans,gpcr,['Gpr6']
103,GPR12,Class A Orphans,gpcr,['Gpr12']
104,GPR15,Class A Orphans,gpcr,['Gpr15']
105,GPR17,Class A Orphans,gpcr,['Gpr17']
106,GPR18,Class A Orphans,gpcr,['Gpr18']
107,GPR19,Class A Orphans,gpcr,['Gpr19']
108,GPR20,Class A Orphans,gpcr,['Gpr20']
109,GPR21,Class A Orphans,gpcr,"['Rabgap1', 'Gpr21']"
110,GPR22,Class A Orphans,gpcr,['Gpr22']
111,GPR25,Class A Orphans,gpcr,['Gpr25']
112,GPR26,Class A Orphans,gpcr,['Gpr26']
113,GPR27,Class A Orphans,gpcr,['Gpr27']
114,GPR31,Class A Orphans,gpcr,['Gpr31b']
115,GPR33,Class A Orphans,gpcr,['Gpr33']
116,GPR34,Class A Orphans,gpcr,['Gpr34']
117,GPR35,Class A Orphans,gpcr,['Gpr35']
118,GPR37,Class A Orphans,gpcr,['Gpr37']
119,GPR37L1,Class A Orphans,gpcr,['Gpr37l1']
120,GPR39,Class A Orphans,gpcr,['Gpr39']
121,GPR45,Class A Orphans,gpcr,['Gpr45']
122,GPR50,Class A Orphans,gpcr,['Gpr50']
123,GPR52,Class A Orphans,gpcr,['Gpr52']
124,GPR55,Class A Orphans,gpcr,['Gpr55']
125,GPR61,Class A Orphans,gpcr,['Gpr61']
126,GPR62,Class A Orphans,gpcr,['Gpr62']
127,GPR63,Class A Orphans,gpcr,['Gpr63']
128,GPR65,Class A Orphans,gpcr,['Gpr65']
129,GPR68,Class A Orphans,gpcr,['Gpr68']
130,GPR75,Class A Orphans,gpcr,['Gpr75']
131,GPR82,Class A Orphans,gpcr,['Gpr82']
132,GPR83,Class A Orphans,gpcr,['Gpr83']
133,GPR85,Class A Orphans,gpcr,['Gpr85']
134,GPR87,Class A Orphans,gpcr,['Gpr87']
135,GPR88,Class A Orphans,gpcr,['Gpr88']
136,GPR101,Class A Orphans,gpcr,['Gpr101']
137,GPR119,Class A Orphans,gpcr,['Gpr119']
138,GPR135,Class A Orphans,gpcr,['Gpr135']
139,GPR139,Class A Orphans,gpcr,['Gpr139']
140,GPR141,Class A Orphans,gpcr,['Gpr141']
141,GPR142,Class A Orphans,gpcr,['Gpr142']
142,GPR146,Class A Orphans,gpcr,['Gpr146']
143,GPR149,Class A Orphans,gpcr,['Gpr149']
144,GPR151,Class A Orphans,gpcr,['Gpr151']
145,GPR152,Class A Orphans,gpcr,['Gpr152']
146,GPR153,Class A Orphans,gpcr,['Gpr153']
147,GPR160,Class A Orphans,gpcr,['Gpr160']
148,GPR161,Class A Orphans,gpcr,['Gpr161']
149,GPR162,Class A Orphans,gpcr,['Gpr162']
150,GPR171,Class A Orphans,gpcr,['Gpr171']
151,GPR173,Class A Orphans,gpcr,['Gpr173']
152,GPR174,Class A Orphans,gpcr,['Gpr174']
153,GPR176,Class A Orphans,gpcr,['Gpr176']
154,GPR182,Class A Orphans,gpcr,['Gpr182']
155,GPR183,Class A Orphans,gpcr,['Gpr183']
156,LGR4,Class A Orphans,gpcr,['Lgr4']
157,LGR5,Class A Orphans,gpcr,['Lgr5']
158,LGR6,Class A Orphans,gpcr,['Lgr6']
159,MAS1,Class A Orphans,gpcr,['Mas1']
160,MRGPRD,Class A Orphans,gpcr,['Mrgprd']
161,MRGPRE,Class A Orphans,gpcr,['Mrgpre']
162,MRGPRF,Class A Orphans,gpcr,['Mrgprf']
163,MRGPRG,Class A Orphans,gpcr,['Mrgprg']
164,MRGPRX1,Class A Orphans,gpcr,"['Mrgprb2', 'Mrgpra1', 'Mrgprb8', 'Mrgpra6', 'Mrgpra4', 'Mrgprb3', 'Mrgprb1', 'Mrgprb4', 'Mrgprb5', 'Mrgprx1', 'Mrgprx2', 'Mrgpra9', 'Mrgpra3', 'Mrgpra2a', 'Mrgpra2b']"
