,receptor,family,type,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1A']
1,5-HT1B receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1B']
2,5-ht1e receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1E']
3,5-HT1F receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1F']
4,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2A']
5,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2B']
6,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2C']
7,5-HT4 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR4']
8,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR5A']
9,5-HT6 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR6']
10,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR7']
11,M2 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM2']
12,M3 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM3']
13,M4 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM4']
14,M5 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM5']
15,A1 receptor,Adenosine receptors,gpcr,['ADORA1']
16,A2A receptor,Adenosine receptors,gpcr,['ADORA2A']
17,A2B receptor,Adenosine receptors,gpcr,['ADORA2B']
18,A3 receptor,Adenosine receptors,gpcr,['ADORA3']
19,ADGRA1,Adhesion Class GPCRs,gpcr,['ENSGALG00000007045']
20,ADGRA2,Adhesion Class GPCRs,gpcr,['ADGRA2']
21,ADGRA3,Adhesion Class GPCRs,gpcr,['ADGRA3']
22,ADGRB1,Adhesion Class GPCRs,gpcr,['ADGRB1']
23,ADGRB2,Adhesion Class GPCRs,gpcr,['ADGRB2']
24,ADGRB3,Adhesion Class GPCRs,gpcr,['ADGRB3']
25,CELSR2,Adhesion Class GPCRs,gpcr,['CELSR2']
26,ADGRD1,Adhesion Class GPCRs,gpcr,['ADGRD1']
27,ADGRD2,Adhesion Class GPCRs,gpcr,['ADGRD2']
28,ADGRF2,Adhesion Class GPCRs,gpcr,['ADGRF2']
29,ADGRF5,Adhesion Class GPCRs,gpcr,['ADGRF5']
30,ADGRG1,Adhesion Class GPCRs,gpcr,['ADGRG1']
31,ADGRG2,Adhesion Class GPCRs,gpcr,['ADGRG2']
32,ADGRG5,Adhesion Class GPCRs,gpcr,['ADGRG5']
33,ADGRG6,Adhesion Class GPCRs,gpcr,['ADGRG6']
34,ADGRG7,Adhesion Class GPCRs,gpcr,['ADGRG7']
35,ADGRL2,Adhesion Class GPCRs,gpcr,['ADGRL2']
36,ADGRL3,Adhesion Class GPCRs,gpcr,['ADGRL3']
37,ADGRL4,Adhesion Class GPCRs,gpcr,['ADGRL4']
38,ADGRV1,Adhesion Class GPCRs,gpcr,"['ENSGALG00000032066', 'ENSGALG00000043556', 'ENSGALG00000051502', 'ENSGALG00000054474']"
39,α1A-adrenoceptor,Adrenoceptors,gpcr,['ADRA1A']
40,α1B-adrenoceptor,Adrenoceptors,gpcr,['ADRA1B']
41,α1D-adrenoceptor,Adrenoceptors,gpcr,['ADRA1D']
42,α2A-adrenoceptor,Adrenoceptors,gpcr,['ADRA2A']
43,α2B-adrenoceptor,Adrenoceptors,gpcr,['ADRA2B']
44,α2C-adrenoceptor,Adrenoceptors,gpcr,['ADRA2C']
45,β1-adrenoceptor,Adrenoceptors,gpcr,['ADRB1']
46,β2-adrenoceptor,Adrenoceptors,gpcr,['ADRB2']
47,β3-adrenoceptor,Adrenoceptors,gpcr,['ENSGALG00000019018']
48,AT1 receptor,Angiotensin receptors,gpcr,['AGTR1']
49,AT2 receptor,Angiotensin receptors,gpcr,['AGTR2']
50,apelin receptor,Apelin receptor,gpcr,['APLNR']
51,BB1 receptor,Bombesin receptors,gpcr,['NMBR']
52,BB2 receptor,Bombesin receptors,gpcr,['GRPR']
53,BB3 receptor,Bombesin receptors,gpcr,['BRS3']
54,B1 receptor,Bradykinin receptors,gpcr,['BDKRB1']
55,B2 receptor,Bradykinin receptors,gpcr,['BDKRB2']
56,CT receptor,Calcitonin receptors,gpcr,['CALCR']
57,calcitonin receptor-like receptor,Calcitonin receptors,gpcr,['CALCRL']
58,CaS receptor,Calcium-sensing receptor,gpcr,['CASR']
59,CB1 receptor,Cannabinoid receptors,gpcr,['CNR1']
60,CB2 receptor,Cannabinoid receptors,gpcr,['CNR2']
61,chemerin receptor 1,Chemerin receptors,gpcr,['CMKLR1']
62,chemerin receptor 2,Chemerin receptors,gpcr,['GPR1']
63,CCR1,Chemokine receptors,gpcr,"['CCR5', 'CCR2']"
64,CCR2,Chemokine receptors,gpcr,"['CCR5', 'CCR2']"
65,CCR3,Chemokine receptors,gpcr,"['CCR5', 'CCR2']"
66,CCR4,Chemokine receptors,gpcr,['CCR4']
67,CCR5,Chemokine receptors,gpcr,"['CCR5', 'CCR2']"
68,CCR6,Chemokine receptors,gpcr,['CCR6']
69,CCR7,Chemokine receptors,gpcr,['CCR7']
70,CCR8,Chemokine receptors,gpcr,"['CCR8L', 'CCR8']"
71,CCR9,Chemokine receptors,gpcr,['CCR9']
72,CCR10,Chemokine receptors,gpcr,['CCR10']
73,CXCR1,Chemokine receptors,gpcr,['CXCR1']
74,CXCR2,Chemokine receptors,gpcr,['CXCR1']
75,CXCR4,Chemokine receptors,gpcr,['CXCR4']
76,CXCR5,Chemokine receptors,gpcr,['CXCR5']
77,CX3CR1,Chemokine receptors,gpcr,['CX3CR1']
78,XCR1,Chemokine receptors,gpcr,['XCR1']
79,ACKR2,Chemokine receptors,gpcr,['ACKR2']
80,ACKR3,Chemokine receptors,gpcr,['CXCR7']
81,ACKR4,Chemokine receptors,gpcr,['ACKR4']
82,CCRL2,Chemokine receptors,gpcr,"['CCR5', 'CCR2']"
83,CCK1 receptor,Cholecystokinin receptors,gpcr,['CCKAR']
84,CCK2 receptor,Cholecystokinin receptors,gpcr,['CCKBR']
85,BB3 receptor,Class A Orphans,gpcr,['BRS3']
86,GPR6,Class A Orphans,gpcr,['GPR6']
87,GPR12,Class A Orphans,gpcr,['GPR12']
88,GPR15,Class A Orphans,gpcr,['GPR15']
89,GPR17,Class A Orphans,gpcr,['ENSGALG00000050460']
90,GPR18,Class A Orphans,gpcr,['GPR18']
91,GPR19,Class A Orphans,gpcr,['GPR19']
92,GPR20,Class A Orphans,gpcr,['GPR20']
93,GPR21,Class A Orphans,gpcr,['GPR21']
94,GPR26,Class A Orphans,gpcr,['GPR26']
95,GPR27,Class A Orphans,gpcr,['GPR27']
96,GPR34,Class A Orphans,gpcr,['GPR34']
97,GPR35,Class A Orphans,gpcr,"['ENSGALG00000020986', 'ENSGALG00000047316']"
98,GPR37,Class A Orphans,gpcr,['GPR37']
99,GPR37L1,Class A Orphans,gpcr,['GPR37L1']
100,GPR39,Class A Orphans,gpcr,['GPR39']
101,GPR50,Class A Orphans,gpcr,['GPR50']
102,GPR55,Class A Orphans,gpcr,['GPR55']
103,GPR61,Class A Orphans,gpcr,['GPR61']
104,GPR62,Class A Orphans,gpcr,['GPR62']
105,GPR63,Class A Orphans,gpcr,['GPR63']
106,GPR65,Class A Orphans,gpcr,['GPR65']
107,GPR68,Class A Orphans,gpcr,['GPR68']
108,GPR75,Class A Orphans,gpcr,['GPR75']
109,GPR78,Class A Orphans,gpcr,['GPR78']
110,GPR82,Class A Orphans,gpcr,['GPR82']
111,GPR83,Class A Orphans,gpcr,['GPR83']
112,GPR85,Class A Orphans,gpcr,['GPR85']
113,GPR87,Class A Orphans,gpcr,['GPR87']
114,GPR88,Class A Orphans,gpcr,['GPR88']
115,GPR119,Class A Orphans,gpcr,['GPR119']
116,GPR132,Class A Orphans,gpcr,['ENSGALG00000043947']
117,GPR135,Class A Orphans,gpcr,['GPR135']
118,GPR139,Class A Orphans,gpcr,['GPR139']
119,GPR141,Class A Orphans,gpcr,['GPR141']
120,GPR142,Class A Orphans,gpcr,['GPR142']
121,GPR149,Class A Orphans,gpcr,['GPR149']
122,GPR153,Class A Orphans,gpcr,['GPR153']
123,GPR160,Class A Orphans,gpcr,['GPR160']
124,GPR161,Class A Orphans,gpcr,['GPR161']
125,GPR162,Class A Orphans,gpcr,['GPR162']
126,GPR171,Class A Orphans,gpcr,['GPR171']
127,GPR176,Class A Orphans,gpcr,['GPR176']
128,GPR182,Class A Orphans,gpcr,['GPR182']
129,GPR183,Class A Orphans,gpcr,['GPR183']
130,LGR4,Class A Orphans,gpcr,['LGR4']
131,LGR5,Class A Orphans,gpcr,['LGR5']
132,LGR6,Class A Orphans,gpcr,['LGR6']
133,MAS1,Class A Orphans,gpcr,['MAS1']
134,P2RY8,Class A Orphans,gpcr,['P2RY8']
135,P2RY10,Class A Orphans,gpcr,"['ENSGALG00000004113', 'ENSGALG00000020331']"
136,TAAR2,Class A Orphans,gpcr,['TAAR2']
137,TAAR5,Class A Orphans,gpcr,['TAAR5']
138,GPR156,Class C Orphans,gpcr,['GPR156']
139,GPR158,Class C Orphans,gpcr,['GPR158']
140,GPR179,Class C Orphans,gpcr,['ENSGALG00000053701']
141,GPRC5A,Class C Orphans,gpcr,['ENSGALG00000011796']
142,GPRC5B,Class C Orphans,gpcr,['GPRC5B']
143,GPRC5C,Class C Orphans,gpcr,['GPRC5C']
144,GPRC5D,Class C Orphans,gpcr,['ENSGALG00000011796']
145,GPRC6 receptor,Class C Orphans,gpcr,['GPRC6A']
146,FZD1,Class Frizzled GPCRs,gpcr,['FZD1']
147,FZD2,Class Frizzled GPCRs,gpcr,['FZD2']
148,FZD3,Class Frizzled GPCRs,gpcr,['FZD3']
149,FZD4,Class Frizzled GPCRs,gpcr,['FZD4']
150,FZD6,Class Frizzled GPCRs,gpcr,['FZD6']
151,FZD7,Class Frizzled GPCRs,gpcr,['FZD7']
152,FZD9,Class Frizzled GPCRs,gpcr,['FZD9']
153,FZD10,Class Frizzled GPCRs,gpcr,['FZD10']
154,SMO,Class Frizzled GPCRs,gpcr,['SMO']
155,C3a receptor,Complement peptide receptors,gpcr,['C3AR1']
156,C5a1 receptor,Complement peptide receptors,gpcr,['ENSGALG00000050637']
157,C5a2 receptor,Complement peptide receptors,gpcr,['ENSGALG00000050637']
158,CRF1 receptor,Corticotropin-releasing factor receptors,gpcr,"['CRHR1', 'CRHR1']"
159,CRF2 receptor,Corticotropin-releasing factor receptors,gpcr,['CRHR2']
160,D1 receptor,Dopamine receptors,gpcr,['DRD1']
161,D2 receptor,Dopamine receptors,gpcr,['DRD2']
162,D3 receptor,Dopamine receptors,gpcr,['DRD3']
163,D4 receptor,Dopamine receptors,gpcr,['DRD4']
164,D5 receptor,Dopamine receptors,gpcr,['DRD5']
165,ETA receptor,Endothelin receptors,gpcr,['EDNRA']
166,ETB receptor,Endothelin receptors,gpcr,['EDNRB']
167,FFA2 receptor,Free fatty acid receptors,gpcr,"['GR42L5', 'ENSGALG00000050977', 'FFAR2L']"
168,FFA4 receptor,Free fatty acid receptors,gpcr,['FFAR4']
169,GABAB1,GABAB receptors,gpcr,['ENSGALG00000048814']
