ligand;target;endogenous;ligand_species;target_species;pubmed_id;action
ML355;12S-LOX;f;;Human;24393039;Inhibition
PKUMDL_MH_1001;15-LOX-1;f;;Human;26290290;Positive
compound 34 [PMID: 20866075];15-LOX-1;f;;Human;20866075;Inhibition
ML351;15-LOX-1;f;;Human;24672829;Inhibition
compound 21n [PMID: 17656086];15-LOX-2;f;;Human;17656086;Inhibition
MLS000536924;15-LOX-2;f;;Human;25111178;Inhibition
I3MT-3;3-Mercaptopyruvate sulfurtransferase;f;;Human;28079151;Inhibition
7-hydroxystaurosporine;3-phosphoinositide dependent protein kinase 1;f;;Human;11896604;Inhibition
BX-795;3-phosphoinositide dependent protein kinase 1;f;;Human;15772071;Inhibition
BX-912;3-phosphoinositide dependent protein kinase 1;f;;Human;15772071;Inhibition
compound 1 [PMID: 20005102];3-phosphoinositide dependent protein kinase 1;f;;Human;20005102;Inhibition
GSK2334470;3-phosphoinositide dependent protein kinase 1;f;;Human;21341675;Inhibition
OSU-03012;3-phosphoinositide dependent protein kinase 1;f;;Human;15205346;Inhibition
PHT-427;3-phosphoinositide dependent protein kinase 1;f;;Human;20197390;Inhibition
urelumab;4-1BB;f;;Human;;Agonist
utomilumab;4-1BB;f;;Human;22406983;Agonist
4-1BB ligand;4-1BB;t;Human;Human;;None
4-acryloylphenol;4-aminobutyrate aminotransferase;f;;Human;16290145;Inhibition
CPP-115;4-aminobutyrate aminotransferase;f;;Human;22168767;Inhibition
vigabatrin;4-aminobutyrate aminotransferase;f;;Human;856582|22168767;Irreversible inhibition
IGN523;4F2hc;f;;Human;;Binding
nitisinone;4-hydroxyphenylpyruvate dioxygenase;f;;Pig;10853644;Inhibition
avitriptan;5-HT1A receptor;f;;Rat;9050026;Agonist
flibanserin;5-HT1A receptor;f;;Human;12177684;Agonist
frovatriptan;5-HT1A receptor;f;;Human;9986723;Agonist
LP-12;5-HT1A receptor;f;;Human;17649988;Agonist
LP-211;5-HT1A receptor;f;;Human;18800769;Agonist
LP-44;5-HT1A receptor;f;;Human;17649988;Agonist
SEP-363856;5-HT1A receptor;f;;Human;31371483;Agonist
1-naphthylpiperazine;5-HT1A receptor;f;;Human;9397179;Full agonist
5-CT;5-HT1A receptor;f;;Human;1386736|9760039|9550290|9205951;Full agonist
5-hydroxytryptamine;5-HT1A receptor;t;;Human;1386736|9760039|10431754|9550290|9205951|15628665;Full agonist
7-methoxy-1-naphthylpiperazine;5-HT1A receptor;f;;Human;9397179;Full agonist
8-OH-DPAT;5-HT1A receptor;f;;Human;1386736|9760039|9550290|15628665|9495870|10611634|12527336|9067310;Full agonist
asenapine;5-HT1A receptor;f;;Human;9760039|8935801;Full agonist
BMY-14802;5-HT1A receptor;f;;Human;9760039;Full agonist
cabergoline;5-HT1A receptor;f;;Human;12388666;Full agonist
clozapine;5-HT1A receptor;f;;Human;9760039|8935801|9732398;Full agonist
CP 93129;5-HT1A receptor;f;;Human;9205951;Full agonist
donitriptan;5-HT1A receptor;f;;Human;10381763;Full agonist
eletriptan;5-HT1A receptor;f;;Human;10193663;Full agonist
EMDT;5-HT1A receptor;f;;Human;10715164;Full agonist
FG-5893;5-HT1A receptor;f;;Human;9760039;Full agonist
flesinoxan;5-HT1A receptor;f;;Human;9760039;Full agonist
L-694,247;5-HT1A receptor;f;;Human;9205951;Full agonist
L-772,405;5-HT1A receptor;f;;Human;10585208;Full agonist
lisuride;5-HT1A receptor;f;;Human;9550290|9205951|12388666;Full agonist
LY 165,163;5-HT1A receptor;f;;Human;9760039;Full agonist
LY293284;5-HT1A receptor;f;;Human;11101361;Full agonist
LY334370;5-HT1A receptor;f;;Human;15900510;Full agonist
LY344864;5-HT1A receptor;f;;Human;9395253;Full agonist
Lysergide;5-HT1A receptor;f;;Human;12213075;Full agonist
nafadotride;5-HT1A receptor;f;;Human;9760039;Full agonist
naratriptan;5-HT1A receptor;f;;Human;9205951|10193663;Full agonist
NLX-101;5-HT1A receptor;f;;Human;19154445;Full agonist
ocaperidone;5-HT1A receptor;f;;Human;9065439;Full agonist
olanzapine;5-HT1A receptor;f;;Human;9760039|8935801;Full agonist
quetiapine;5-HT1A receptor;f;;Human;9760039|8935801;Full agonist
quinpirole;5-HT1A receptor;f;;Human;10431754;Full agonist
rizatriptan;5-HT1A receptor;f;;Human;10193663;Full agonist
RU 24969;5-HT1A receptor;f;;Human;9760039;Full agonist
S-14506;5-HT1A receptor;f;;Human;9760039|9550290;Full agonist
S-14671;5-HT1A receptor;f;;Human;9760039|9550290;Full agonist
spiroxatrine;5-HT1A receptor;f;;Human;9760039;Full agonist
sumatriptan;5-HT1A receptor;f;;Human;10193663;Full agonist
[3H]8-OH-DPAT;5-HT1A receptor;f;;Human;10431754|9550290|15628665|11101361;Full agonist
[3H]NLX-112;5-HT1A receptor;f;;Human;20799027;Full agonist
tandospirone;5-HT1A receptor;f;;Human;9760039;Full agonist
U92016A;5-HT1A receptor;f;;Human;7965808;Full agonist
xanomeline;5-HT1A receptor;f;;Human;9884068;Full agonist
zalospirone;5-HT1A receptor;f;;Human;9760039;Full agonist
zolmitriptan;5-HT1A receptor;f;;Human;10193663;Full agonist
apomorphine;5-HT1A receptor;f;;Human;12388666;Partial agonist
aripiprazole;5-HT1A receptor;f;;Human;12784105;Partial agonist
BMY-7378;5-HT1A receptor;f;;Human;9048968;Partial agonist
BRL-15572;5-HT1A receptor;f;;Human;9303567;Partial agonist
bromocriptine;5-HT1A receptor;f;;Human;12388666;Partial agonist
buspirone;5-HT1A receptor;f;;Human;1386736|9760039|9550290;Partial agonist
capeserod;5-HT1A receptor;f;;Human;12130738;Partial agonist
fluparoxan;5-HT1A receptor;f;;Human;10611634;Partial agonist
GR 127935;5-HT1A receptor;f;;Human;9397179|9303567;Partial agonist
ipsapirone;5-HT1A receptor;f;;Human;9760039|9550290;Partial agonist
lurasidone;5-HT1A receptor;f;;Rat;20404009;Partial agonist
pergolide;5-HT1A receptor;f;;Human;12388666;Partial agonist
piribedil;5-HT1A receptor;f;;Human;12388666;Partial agonist
roxindole;5-HT1A receptor;f;;Human;10431754|12388666;Partial agonist
(R)-UH 301;5-HT1A receptor;f;;Human;9760039;Partial agonist
S-15535;5-HT1A receptor;f;;Human;9550290;Partial agonist
S 16924;5-HT1A receptor;f;;Human;9732398;Partial agonist
SB 216641;5-HT1A receptor;f;;Human;9303567;Partial agonist
[3H]S-15535;5-HT1A receptor;f;;Human;9550290;Partial agonist
terguride;5-HT1A receptor;f;;Human;12388666;Partial agonist
vilazodone;5-HT1A receptor;f;;Human;19499624;Partial agonist
vilazodone;5-HT1A receptor;f;;Human;15341484;Partial agonist
vortioxetine;5-HT1A receptor;f;;Human;21486038;Partial agonist
ziprasidone;5-HT1A receptor;f;;Human;9760039|8935801;Partial agonist
