,receptor,family,type,gene
0,OPN3,Opsin receptors,gpcr,['MRS6']
1,TRPV1,Transient Receptor Potential channels,vgic,['YVC1']
2,TRPV2,Transient Receptor Potential channels,vgic,['YVC1']
3,TRPV3,Transient Receptor Potential channels,vgic,['YVC1']
4,TRPV4,Transient Receptor Potential channels,vgic,['YVC1']
5,TRPV5,Transient Receptor Potential channels,vgic,['YVC1']
6,TRPV6,Transient Receptor Potential channels,vgic,['YVC1']
7,K2P1.1,Two P domain potassium channels,vgic,['TOK1']
8,K2P2.1,Two P domain potassium channels,vgic,['TOK1']
9,K2P3.1,Two P domain potassium channels,vgic,['TOK1']
10,K2P4.1,Two P domain potassium channels,vgic,['TOK1']
11,K2P5.1,Two P domain potassium channels,vgic,['TOK1']
12,K2P6.1,Two P domain potassium channels,vgic,['TOK1']
13,K2P7.1,Two P domain potassium channels,vgic,['TOK1']
14,K2P9.1,Two P domain potassium channels,vgic,['TOK1']
15,K2P10.1,Two P domain potassium channels,vgic,['TOK1']
16,K2P12.1,Two P domain potassium channels,vgic,['TOK1']
17,K2P13.1,Two P domain potassium channels,vgic,['TOK1']
18,K2P15.1,Two P domain potassium channels,vgic,['TOK1']
19,K2P16.1,Two P domain potassium channels,vgic,['TOK1']
20,K2P17.1,Two P domain potassium channels,vgic,['TOK1']
21,AQP10,Aquaporins,other_ic,"['AQY2', 'YLL053C', 'AQY1']"
22,DExD/H-box helicase 58,RIG-I-like receptor family,catalytic_receptor,"['YBL111C', 'YBL112C', 'YBL113C', 'YRF1-1', 'YEL075C', 'YEL077C', 'YER189W', 'YRF1-2', 'YFL064C', 'YFL066C', 'YRF1-3', 'YHL049C', 'YHL050C', 'YHR218W', 'YHR218W-A', 'YHR219W', 'YIL177C', 'YJL225C', 'YLL066C', 'YLL067C', 'YLR462W', 'YRF1-4', 'YRF1-5', 'YML133C', 'YRF1-6', 'YRF1-8', 'YRF1-7', 'YPR202W', 'YPR204W']"
23,interferon induced with helicase C domain 1,RIG-I-like receptor family,catalytic_receptor,"['YBL111C', 'YBL112C', 'YBL113C', 'YRF1-1', 'YEL075C', 'YEL077C', 'YER189W', 'YRF1-2', 'YFL064C', 'YFL066C', 'YRF1-3', 'YHL049C', 'YHL050C', 'YHR218W', 'YHR218W-A', 'YHR219W', 'YIL177C', 'YJL225C', 'YLL066C', 'YLL067C', 'YLR462W', 'YRF1-4', 'YRF1-5', 'YML133C', 'YRF1-6', 'YRF1-8', 'YRF1-7', 'YPR202W', 'YPR204W']"
24,DExH-box helicase 58,RIG-I-like receptor family,catalytic_receptor,"['YBL111C', 'YBL112C', 'YBL113C', 'YRF1-1', 'YEL075C', 'YEL077C', 'YER189W', 'YRF1-2', 'YFL064C', 'YFL066C', 'YRF1-3', 'YHL049C', 'YHL050C', 'YHR218W', 'YHR218W-A', 'YHR219W', 'YIL177C', 'YJL225C', 'YLL066C', 'YLL067C', 'YLR462W', 'YRF1-4', 'YRF1-5', 'YML133C', 'YRF1-6', 'YRF1-8', 'YRF1-7', 'YPR202W', 'YPR204W']"
25,isocitrate dehydrogenase (NADP(+)) 1,1.1.1.42 Isocitrate dehydrogenases,enzyme,"['IDP1', 'IDP2', 'IDP3']"
26,isocitrate dehydrogenase (NADP(+)) 2,1.1.1.42 Isocitrate dehydrogenases,enzyme,"['IDP1', 'IDP2', 'IDP3']"
27,lysine demethylase 4A,1.14.11.- Histone demethylases,enzyme,['JHD2']
28,lysine demethylase 4B,1.14.11.- Histone demethylases,enzyme,['JHD2']
29,lysine demethylase 4D,1.14.11.- Histone demethylases,enzyme,['JHD2']
30,lysine demethylase 4E,1.14.11.- Histone demethylases,enzyme,['JHD2']
31,lysine demethylase 5A,1.14.11.- Histone demethylases,enzyme,['JHD2']
32,lysine demethylase 5B,1.14.11.- Histone demethylases,enzyme,['JHD2']
33,lysine demethylase 5C,1.14.11.- Histone demethylases,enzyme,['JHD2']
34,lysine demethylase 5D,1.14.11.- Histone demethylases,enzyme,['JHD2']
35,lysine demethylase 6A,1.14.11.- Histone demethylases,enzyme,['CYC8']
36,lysine demethylase 6B,1.14.11.- Histone demethylases,enzyme,['CYC8']
37,kynurenine 3-monooxygenase,1.14.13.9 Kynurenine 3-monooxygenase,enzyme,['BNA4']
38,ribonucleotide reductase catalytic subunit M1,1.17.4.1 Ribonucleoside-diphosphate reductases,enzyme,"['RNR1', 'RNR3']"
39,ribonucleotide reductase regulatory subunit M2,1.17.4.1 Ribonucleoside-diphosphate reductases,enzyme,"['RNR4', 'RNR2']"
40,ribonucleotide reductase regulatory TP53 inducible subunit M2B,1.17.4.1 Ribonucleoside-diphosphate reductases,enzyme,"['RNR4', 'RNR2']"
41,aldo-keto reductase family 1 member B,1.-.-.- Oxidoreductases,enzyme,"['AAD3', 'AAD4', 'YPR1', 'AAD10', 'AAD14', 'AAD15', 'GCY1']"
42,catalase,1.-.-.- Oxidoreductases,enzyme,"['CTA1', 'CTT1']"
43,dihydrofolate reductase,1.-.-.- Oxidoreductases,enzyme,['DFR1']
44,glutathione-disulfide reductase,1.-.-.- Oxidoreductases,enzyme,['GLR1']
45,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",1.-.-.- Oxidoreductases,enzyme,"['YDR541C', 'YGL039W', 'ARI1', 'GRE2']"
46,steroid 5 alpha-reductase 2,1.-.-.- Oxidoreductases,enzyme,['TSC13']
47,"phosphoinositide kinase, FYVE-type zinc finger containing",1-phosphatidylinositol-3-phosphate 5-kinase family,enzyme,['FAB1']
48,phosphatidylinositol 4-kinase alpha,1-phosphatidylinositol 4-kinase family,enzyme,['STT4']
49,phosphatidylinositol 4-kinase beta,1-phosphatidylinositol 4-kinase family,enzyme,['PIK1']
