,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
0,5-LOX activating protein,peptide,['alox5ap'],,,,,inferred from Human
1,ACTH,peptide,['pomc'],,,,,inferred from Mouse
2,ADP-ribosylation factor 1,peptide,['arf5'],,,,,inferred from Human
3,BAFF,peptide,['TNFSF13B'],,,,,inferred from Human
4,BDNF,peptide,['bdnf'],,,,,inferred from Human
5,BMP-10,peptide,['bmp10'],,,,,inferred from Human
6,BMP-2,peptide,['bmp2'],,,,,inferred from Human
7,BMP-4,peptide,['bmp4'],,,,,inferred from Human
8,BMP-5,peptide,['bmp5'],,,,,inferred from Human
9,BMP-6,peptide,['bmp6'],,,,,inferred from Human
10,BMP-7,peptide,"['bmp7.1', 'bmp7.2']",,,,,inferred from Human
11,BMP-8A,peptide,['bmp8'],,,,,inferred from Human
12,BMP-8B,peptide,['bmp8'],,,,,inferred from Human
13,BMP-9,peptide,['gdf2'],,,,,inferred from Human
14,C-type natriuretic peptide,peptide,['nppc'],,,,,inferred from Human
15,C3a,peptide,"['c3', 'ENSXETG00000030458', 'trappc6a', 'ENSXETG00000032282', 'depdc1', 'ENSXETG00000032992']",,,,,inferred from Human
16,C5a,peptide,['c5'],,,,,inferred from Human
17,C5a des-Arg,peptide,['c5'],,,,,inferred from Human
18,CCK-33,peptide,"['cck', 'pgq']",,,,,inferred from Human
19,CCK-39,peptide,"['cck', 'pgq']",,,,,inferred from Human
20,CCK-4,peptide,"['cck', 'pgq']",,,,,inferred from Human
21,CCK-58,peptide,"['cck', 'pgq']",,,,,inferred from Human
22,CCK-8,peptide,"['cck', 'pgq']",,,,,inferred from Mouse
23,CCL14,peptide,"['ENSXETG00000036196', 'ENSXETG00000037100']",,,,,inferred from Human
24,CCL15,peptide,"['ENSXETG00000036196', 'ENSXETG00000037100']",,,,,inferred from Human
25,CCL23,peptide,"['ENSXETG00000036196', 'ENSXETG00000037100']",,,,,inferred from Human
26,CD40 ligand,peptide,['cd40lg'],,,,,inferred from Human
27,CLUL1 (52-77),peptide,['faim2'],,,,,inferred from Human
28,CXCL12α,peptide,['cxcl12'],,,,,inferred from Human
29,CXCL12β,peptide,['cxcl12'],,,,,inferred from Human
30,CXCL12γ,peptide,['cxcl12'],,,,,inferred from Human
31,CXCL12δ,peptide,['cxcl12'],,,,,inferred from Human
32,CXCL12ε,peptide,['cxcl12'],,,,,inferred from Human
33,CXCL12φ,peptide,['cxcl12'],,,,,inferred from Human
34,CXCL8,peptide,"['ENSXETG00000035535', 'ENSXETG00000037202', 'ENSXETG00000039678']",,,,,inferred from Human
35,Chgb (511-532),peptide,['ipmk'],,,,,inferred from Rat
36,EGF,peptide,['egf'],,,,,inferred from Human
37,F2L,peptide,['hebp1'],,,,,inferred from Human
38,FLRT3,peptide,['flrt3'],,,,,inferred from Rat
39,Fas ligand,peptide,['faslg'],,,,,inferred from Human
40,G-CSF,peptide,['csf3'],,,,,inferred from Human
41,GnRH I,peptide,['gnrh1'],,,,,inferred from Mouse
42,GnRH II,peptide,['gnrh2'],,,,,inferred from Human
43,HB-EGF,peptide,['hbegf'],,,,,inferred from Human
44,IFN-β,peptide,"['ENSXETG00000029972', 'ENSXETG00000031544', 'ENSXETG00000033352', 'ENSXETG00000040387']",,,,,inferred from Human
45,IFN-κ,peptide,"['ENSXETG00000029972', 'ENSXETG00000031544', 'ENSXETG00000033352', 'ENSXETG00000040387']",,,,,inferred from Human
46,IFN-λ1,peptide,"['col3a1', 'ENSXETG00000037409', 'maoa']",,,,,inferred from Human
47,IFN-λ2,peptide,"['col3a1', 'ENSXETG00000037409', 'maoa']",,,,,inferred from Human
48,IFN-λ3,peptide,"['col3a1', 'ENSXETG00000037409', 'maoa']",,,,,inferred from Human
49,IFN-ω,peptide,"['ENSXETG00000029972', 'ENSXETG00000031544', 'ENSXETG00000033352', 'ENSXETG00000040387']",,,,,inferred from Human
50,IL-1 receptor antagonist,peptide,['il1b'],,,,,inferred from Human
51,IL-10,peptide,['il10'],,,,,inferred from Human
52,IL-11,peptide,['il11'],,,,,inferred from Human
53,IL-17B,peptide,['il17b'],,,,,inferred from Human
54,IL-17C,peptide,['il17c'],,,,,inferred from Human
55,IL-17F,peptide,"['il17f', 'ears2']",,,,,inferred from Human
56,IL-1β,peptide,['il1b'],,,,,inferred from Human
57,IL-21,peptide,['il21'],,,,,inferred from Human
58,IL-22,peptide,['il22'],,,,,inferred from Human
59,IL-36 receptor antagonist,peptide,['il1b'],,,,,inferred from Human
60,IL-36α,peptide,['il1b'],,,,,inferred from Human
61,IL-36β,peptide,['il1b'],,,,,inferred from Human
62,IL-36γ,peptide,['il1b'],,,,,inferred from Human
