,receptor,family,gene
0,5-HT1B receptor,5-Hydroxytryptamine receptors,['HTR1B']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,['ENSGALG00000000820']
2,5-HT1F receptor,5-Hydroxytryptamine receptors,['HTR1F']
3,5-HT2A receptor,5-Hydroxytryptamine receptors,['HTR2A']
4,5-HT2B receptor,5-Hydroxytryptamine receptors,['HTR2B']
5,5-HT4 receptor,5-Hydroxytryptamine receptors,['HTR4']
6,5-HT6 receptor,5-Hydroxytryptamine receptors,['HTR1A']
7,5-HT7 receptor,5-Hydroxytryptamine receptors,"['HTR7', 'HTR7']"
8,M2 receptor,Acetylcholine receptors (muscarinic),['CHRM2']
9,M3 receptor,Acetylcholine receptors (muscarinic),['CHRM3']
10,M4 receptor,Acetylcholine receptors (muscarinic),['CHRM4']
11,M5 receptor,Acetylcholine receptors (muscarinic),['CHRM5']
12,A1 receptor,Adenosine receptors,['ADORA1']
13,A2A receptor,Adenosine receptors,['ADORA2A']
14,A2B receptor,Adenosine receptors,['ADORA2B']
15,A3 receptor,Adenosine receptors,"['ADORA3', 'ADORA3']"
16,ADGRA1,Adhesion Class GPCRs,['ADGRA1']
17,ADGRA2,Adhesion Class GPCRs,['ADGRA2']
18,ADGRA3,Adhesion Class GPCRs,['ADGRA3']
19,ADGRB2,Adhesion Class GPCRs,['ADGRB2']
20,ADGRB3,Adhesion Class GPCRs,['ADGRB3']
21,CELSR2,Adhesion Class GPCRs,['CELSR2']
22,ADGRD1,Adhesion Class GPCRs,['ADGRD1']
23,ADGRF2,Adhesion Class GPCRs,['ADGRF2']
24,ADGRF5,Adhesion Class GPCRs,['ADGRF5']
25,ADGRG1,Adhesion Class GPCRs,['ADGRG1']
26,ADGRG2,Adhesion Class GPCRs,['ADGRG2']
27,ADGRG5,Adhesion Class GPCRs,['ADGRG5']
28,ADGRG6,Adhesion Class GPCRs,['ADGRG6']
29,ADGRG7,Adhesion Class GPCRs,"['ADGRG7', 'ADGRG7']"
30,ADGRL2,Adhesion Class GPCRs,['ADGRL2']
31,ADGRL3,Adhesion Class GPCRs,['ADGRL3']
32,ADGRL4,Adhesion Class GPCRs,['ADGRL4']
33,ADGRV1,Adhesion Class GPCRs,"['ENSGALG00000032066', 'ENSGALG00000043556', 'ENSGALG00000051502', 'ENSGALG00000054474']"
34,α1A-adrenoceptor,Adrenoceptors,['ADRA1A']
35,α1B-adrenoceptor,Adrenoceptors,['ADRA1B']
36,α1D-adrenoceptor,Adrenoceptors,['ADRA1D']
37,α2A-adrenoceptor,Adrenoceptors,['ADRA2A']
38,α2B-adrenoceptor,Adrenoceptors,['ADRA2B']
39,α2C-adrenoceptor,Adrenoceptors,['ADRA2C']
40,β1-adrenoceptor,Adrenoceptors,['ADRB1']
