,receptor,family,type,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,gpcr,['ser-4']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,gpcr,['ser-4']
2,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,['ser-6']
3,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,['ser-6']
4,CELSR1,Adhesion Class GPCRs,gpcr,"['fmi-1', 'hmr-1', 'Y52B11A.11']"
5,CELSR2,Adhesion Class GPCRs,gpcr,"['fmi-1', 'hmr-1', 'Y52B11A.11']"
6,CELSR3,Adhesion Class GPCRs,gpcr,"['fmi-1', 'hmr-1', 'Y52B11A.11']"
7,GPBA receptor,Bile acid receptor,gpcr,"['npr-18', 'npr-26', 'npr-25', 'npr-28']"
8,CX3CR1,Chemokine receptors,gpcr,['npr-20']
9,XCR1,Chemokine receptors,gpcr,['npr-20']
10,ACKR2,Chemokine receptors,gpcr,['npr-20']
11,GPR15,Class A Orphans,gpcr,"['npr-33', 'npr-15']"
12,GPR17,Class A Orphans,gpcr,['gnrr-4']
13,GPR25,Class A Orphans,gpcr,"['npr-33', 'npr-15']"
14,GPR37,Class A Orphans,gpcr,['gnrr-5']
15,GPR37L1,Class A Orphans,gpcr,['gnrr-5']
16,GPR83,Class A Orphans,gpcr,['tkr-3']
17,GPR84,Class A Orphans,gpcr,['dop-1']
18,GPR139,Class A Orphans,gpcr,"['srw-1', 'srw-2', 'srw-3', 'srw-4', 'srw-6', 'srw-7', 'srw-8', 'srw-9', 'srw-10', 'srw-11', 'srw-12', 'srw-13', 'srw-14', 'srw-15', 'srw-16', 'srw-17', 'srw-19', 'srw-20', 'srw-21', 'srw-22', 'srw-23', 'srw-24', 'srw-26', 'srw-29', 'srw-31', 'srw-32', 'srw-33', 'srw-34', 'srw-35', 'srw-38', 'srw-40', 'srw-41', 'srw-42', 'srw-43', 'srw-44', 'srw-48', 'srw-51', 'srw-53', 'srw-54', 'srw-55', 'srw-56', 'srw-57', 'srw-59', 'srw-60', 'srw-61', 'srw-62', 'srw-63', 'srw-66', 'srw-67', 'srw-68', 'srw-69', 'srw-71', 'srw-73', 'srw-76', 'srw-77', 'srw-79', 'srw-82', 'srw-83', 'srw-84', 'srw-85', 'srw-87', 'srw-88', 'srw-89', 'srw-90', 'srw-91', 'srw-94', 'srw-95', 'srw-97', 'srw-98', 'srw-99', 'srw-100', 'srw-101', 'srw-102', 'srw-103', 'srw-107', 'srw-109', 'srw-111', 'srw-112', 'srw-113', 'srw-115', 'srw-117', 'srw-118', 'srw-119', 'srw-120', 'srw-121', 'srw-122', 'srw-123', 'srw-124', 'srw-127', 'srw-129', 'srw-130', 'srw-133', 'srw-134', 'srw-136', 'srw-137', 'srw-138', 'srw-139', 'srw-140', 'srw-141', 'srw-142', 'srw-143', 'srw-144', 'C54D10.5', 'H09F14.1', 'sprr-1', 'T27C5.10', 'B0563.6', 'frpr-1', 'frpr-4', 'D1014.2', 'D1079.1', 'F20A1.2', 'frpr-6', 'dmsr-12', 'frpr-11', 'frpr-12', 'frpr-13', 'R11F4.2', 'dmsr-14', 'dmsr-13', 'dmsr-15', 'sprr-3', 'dmsr-10', 'dmsr-11', 'dmsr-9', 'C25F9.13', 'M03F8.7', 'dmsr-16', 'D1014.13']"
19,GPR142,Class A Orphans,gpcr,"['srw-1', 'srw-2', 'srw-3', 'srw-4', 'srw-6', 'srw-7', 'srw-8', 'srw-9', 'srw-10', 'srw-11', 'srw-12', 'srw-13', 'srw-14', 'srw-15', 'srw-16', 'srw-17', 'srw-19', 'srw-20', 'srw-21', 'srw-22', 'srw-23', 'srw-24', 'srw-26', 'srw-29', 'srw-31', 'srw-32', 'srw-33', 'srw-34', 'srw-35', 'srw-38', 'srw-40', 'srw-41', 'srw-42', 'srw-43', 'srw-44', 'srw-48', 'srw-51', 'srw-53', 'srw-54', 'srw-55', 'srw-56', 'srw-57', 'srw-59', 'srw-60', 'srw-61', 'srw-62', 'srw-63', 'srw-66', 'srw-67', 'srw-68', 'srw-69', 'srw-71', 'srw-73', 'srw-76', 'srw-77', 'srw-79', 'srw-82', 'srw-83', 'srw-84', 'srw-85', 'srw-87', 'srw-88', 'srw-89', 'srw-90', 'srw-91', 'srw-94', 'srw-95', 'srw-97', 'srw-98', 'srw-99', 'srw-100', 'srw-101', 'srw-102', 'srw-103', 'srw-107', 'srw-109', 'srw-111', 'srw-112', 'srw-113', 'srw-115', 'srw-117', 'srw-118', 'srw-119', 'srw-120', 'srw-121', 'srw-122', 'srw-123', 'srw-124', 'srw-127', 'srw-129', 'srw-130', 'srw-133', 'srw-134', 'srw-136', 'srw-137', 'srw-138', 'srw-139', 'srw-140', 'srw-141', 'srw-142', 'srw-143', 'srw-144', 'C54D10.5', 'H09F14.1', 'sprr-1', 'T27C5.10', 'B0563.6', 'frpr-1', 'frpr-4', 'D1014.2', 'D1079.1', 'F20A1.2', 'frpr-6', 'dmsr-12', 'frpr-11', 'frpr-12', 'frpr-13', 'R11F4.2', 'dmsr-14', 'dmsr-13', 'dmsr-15', 'sprr-3', 'dmsr-10', 'dmsr-11', 'dmsr-9', 'C25F9.13', 'M03F8.7', 'dmsr-16', 'D1014.13']"
20,GPR150,Class A Orphans,gpcr,"['daf-38', 'gnrr-1']"
21,GPR156,Class C Orphans,gpcr,['gbb-2']
22,FZD4,Class Frizzled GPCRs,gpcr,['lin-17']
23,GABAB1,GABAB receptors,gpcr,['gbb-1']
24,GABAB2,GABAB receptors,gpcr,['gbb-2']
25,FSH receptor,Glycoprotein hormone receptors,gpcr,['fshr-1']
26,LH receptor,Glycoprotein hormone receptors,gpcr,['fshr-1']
27,TSH receptor,Glycoprotein hormone receptors,gpcr,['fshr-1']
28,kisspeptin receptor,Kisspeptin receptor,gpcr,"['npr-16', 'npr-32', 'npr-24']"
29,LPA4 receptor,Lysophospholipid (LPA) receptors,gpcr,['gnrr-4']
30,LPA6 receptor,Lysophospholipid (LPA) receptors,gpcr,['gnrr-4']
31,mGlu1 receptor,Metabotropic glutamate receptors,gpcr,['mgl-2']
32,mGlu2 receptor,Metabotropic glutamate receptors,gpcr,"['C30A5.10', 'F35H10.10', 'mgl-3']"
33,mGlu3 receptor,Metabotropic glutamate receptors,gpcr,"['C30A5.10', 'F35H10.10', 'mgl-3']"
34,mGlu5 receptor,Metabotropic glutamate receptors,gpcr,['mgl-2']
35,mGlu8 receptor,Metabotropic glutamate receptors,gpcr,"['C30A5.10', 'F35H10.10', 'mgl-3']"
36,NMU1 receptor,Neuromedin U receptors,gpcr,"['nmur-1', 'nmur-2']"
37,NMU2 receptor,Neuromedin U receptors,gpcr,"['nmur-1', 'nmur-2']"
38,OPN3,Opsin receptors,gpcr,['rep-1']
39,OPN4,Opsin receptors,gpcr,['sro-1']
40,GPR107,Other 7TM proteins,gpcr,['C15H9.5']
41,TPRA1,Other 7TM proteins,gpcr,['tpra-1']
42,RXFP4,Relaxin family peptide receptors,gpcr,"['npr-33', 'npr-15']"
43,NK1 receptor,Tachykinin receptors,gpcr,['tkr-1']
44,NK2 receptor,Tachykinin receptors,gpcr,['tkr-2']
45,NK3 receptor,Tachykinin receptors,gpcr,['tkr-1']
46,UT receptor,Urotensin receptor,gpcr,"['npr-16', 'npr-32', 'npr-24']"
47,Hepatocyte nuclear factor-4-α,2A. Hepatocyte nuclear factor-4 receptors,nhr,"['nhr-32', 'nhr-60', 'nhr-69', 'nhr-93', 'nhr-116', 'nhr-129', 'nhr-136', 'nhr-154', 'nhr-168', 'nhr-206', 'nhr-207', 'nhr-208', 'nhr-209', 'nhr-147', 'nhr-148', 'nhr-149', 'nhr-152', 'nhr-173', 'nhr-36', 'nhr-141', 'nhr-221', 'nhr-239', 'nhr-41', 'ZK418.11']"
48,Hepatocyte nuclear factor-4-γ,2A. Hepatocyte nuclear factor-4 receptors,nhr,"['nhr-32', 'nhr-60', 'nhr-69', 'nhr-93', 'nhr-116', 'nhr-129', 'nhr-136', 'nhr-154', 'nhr-168', 'nhr-206', 'nhr-207', 'nhr-208', 'nhr-209', 'nhr-147', 'nhr-148', 'nhr-149', 'nhr-152', 'nhr-173', 'nhr-36', 'nhr-141', 'nhr-221', 'nhr-239', 'nhr-41', 'ZK418.11']"
