,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
0,5-LOX activating protein,peptide,['ALOX5AP'],,,,,inferred from Human
1,ACTH,peptide,['POMC'],,,,,inferred from Mouse
2,ADP-ribosylation factor 1,peptide,['ARF1'],,,,,inferred from Human
3,APRIL,peptide,['ENSACAG00000029063'],,,,,inferred from Human
4,BAFF,peptide,['TNFSF13B'],,,,,inferred from Human
5,BDNF,peptide,['BDNF'],,,,,inferred from Human
6,BMP-2,peptide,['BMP2'],,,,,inferred from Human
7,BMP-4,peptide,['BMP4'],,,,,inferred from Human
8,BMP-5,peptide,['BMP5'],,,,,inferred from Human
9,BMP-6,peptide,['BMP6'],,,,,inferred from Human
10,BMP-7,peptide,['BMP7'],,,,,inferred from Human
11,BMP-8A,peptide,['ENSACAG00000002816'],,,,,inferred from Human
12,BMP-8B,peptide,['ENSACAG00000002816'],,,,,inferred from Human
13,BMP-9,peptide,['ENSACAG00000026635'],,,,,inferred from Human
14,C3a,peptide,"['ENSACAG00000014786', 'ENSACAG00000017192', 'ENSACAG00000017334', 'ENSACAG00000028697']",,,,,inferred from Human
15,C5a,peptide,"['ENSACAG00000026405', 'ENSACAG00000029332']",,,,,inferred from Human
16,C5a des-Arg,peptide,"['ENSACAG00000026405', 'ENSACAG00000029332']",,,,,inferred from Human
17,CCK-33,peptide,['CCK'],,,,,inferred from Human
18,CCK-39,peptide,['CCK'],,,,,inferred from Human
19,CCK-4,peptide,['CCK'],,,,,inferred from Human
20,CCK-58,peptide,['CCK'],,,,,inferred from Human
21,CCK-8,peptide,['CCK'],,,,,inferred from Mouse
22,CCL20,peptide,['CCL20'],,,,,inferred from Human
23,CD30 ligand,peptide,['TNFSF8'],,,,,inferred from Human
24,CD40 ligand,peptide,['CD40LG'],,,,,inferred from Human
25,CLUL1 (52-77),peptide,['CLUL1'],,,,,inferred from Human
26,CRAMP,peptide,"['ENSACAG00000006634', 'ENSACAG00000025845']",,,,,inferred from Mouse
27,CXCL12α,peptide,['CXCL12'],,,,,inferred from Human
28,CXCL12β,peptide,['CXCL12'],,,,,inferred from Human
29,CXCL12γ,peptide,['CXCL12'],,,,,inferred from Human
30,CXCL12δ,peptide,['CXCL12'],,,,,inferred from Human
31,CXCL12ε,peptide,['CXCL12'],,,,,inferred from Human
32,CXCL12φ,peptide,['CXCL12'],,,,,inferred from Human
33,CXCL7,peptide,['ENSACAG00000028995'],,,,,inferred from Human
34,CXCL8,peptide,['ENSACAG00000011382'],,,,,inferred from Human
35,Chgb (511-532),peptide,['CHGB'],,,,,inferred from Rat
36,EGF,peptide,['EGF'],,,,,inferred from Human
37,F2L,peptide,['HEBP1'],,,,,inferred from Human
38,FLRT3,peptide,['FLRT3'],,,,,inferred from Rat
39,Fas ligand,peptide,['FASLG'],,,,,inferred from Human
40,Fms-related tyrosine kinase 3 ligand,peptide,['ENSACAG00000017350'],,,,,inferred from Human
41,G-CSF,peptide,['ENSACAG00000026820'],,,,,inferred from Human
42,GHRH,peptide,['ENSACAG00000011836'],,,,,inferred from Human
43,HB-EGF,peptide,['HBEGF'],,,,,inferred from Human
44,IFN-κ,peptide,"['ENSACAG00000017572', 'ENSACAG00000017580', 'ENSACAG00000024853', 'ENSACAG00000025902', 'ENSACAG00000026778', 'ENSACAG00000027003']",,,,,inferred from Human
45,IL-10,peptide,['IL10'],,,,,inferred from Human
46,IL-11,peptide,['ENSACAG00000015945'],,,,,inferred from Human
47,IL-17B,peptide,['IL17B'],,,,,inferred from Human
48,IL-17C,peptide,['ENSACAG00000006597'],,,,,inferred from Human
49,IL-17F,peptide,['IL17F'],,,,,inferred from Human
50,IL-18,peptide,['ENSACAG00000015396'],,,,,inferred from Human
51,IL-22,peptide,['IL22'],,,,,inferred from Human
52,IL-24,peptide,['IL24'],,,,,inferred from Human
53,IL-36α,peptide,"['ENSACAG00000001497', 'ENSACAG00000001501', 'ENSACAG00000001507', 'ENSACAG00000028772']",,,,,inferred from Human
54,IL-36β,peptide,"['ENSACAG00000001497', 'ENSACAG00000001501', 'ENSACAG00000001507', 'ENSACAG00000028772']",,,,,inferred from Human
55,IL-36γ,peptide,"['ENSACAG00000001497', 'ENSACAG00000001501', 'ENSACAG00000001507', 'ENSACAG00000028772']",,,,,inferred from Human
56,IL-37,peptide,"['ENSACAG00000001497', 'ENSACAG00000001501', 'ENSACAG00000001507', 'ENSACAG00000028772']",,,,,inferred from Human
57,IL-6,peptide,['IL6'],,,,,inferred from Human
58,LIGHT,peptide,['TNFSF14'],,,,,inferred from Human
59,LL-37,peptide,"['ENSACAG00000006634', 'ENSACAG00000025845']",,,,,inferred from Human
