,receptor,family,type,gene
0,5-HT1B receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1B']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,gpcr,['ENSACAG00000013729']
2,5-ht1e receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1E']
3,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2A']
4,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2B']
5,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2C']
6,5-HT4 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR4']
7,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,['HTR5A']
8,5-HT6 receptor,5-Hydroxytryptamine receptors,gpcr,['ENSACAG00000008741']
9,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,['HTR7']
10,M1 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM1']
11,M2 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM2']
12,M3 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM3']
13,M4 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM4']
14,M5 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM5']
15,A1 receptor,Adenosine receptors,gpcr,['ADORA1']
16,A2A receptor,Adenosine receptors,gpcr,['ADORA2A']
17,A3 receptor,Adenosine receptors,gpcr,['ADORA3']
18,ADGRA1,Adhesion Class GPCRs,gpcr,['ADGRA1']
19,ADGRA2,Adhesion Class GPCRs,gpcr,['ADGRA2']
20,ADGRA3,Adhesion Class GPCRs,gpcr,['ADGRA3']
21,ADGRB1,Adhesion Class GPCRs,gpcr,"['ENSACAG00000004005', 'ENSACAG00000016127']"
22,ADGRB2,Adhesion Class GPCRs,gpcr,"['ENSACAG00000008106', 'ENSACAG00000011853']"
23,ADGRB3,Adhesion Class GPCRs,gpcr,['ADGRB3']
24,CELSR1,Adhesion Class GPCRs,gpcr,['CELSR1']
25,CELSR2,Adhesion Class GPCRs,gpcr,['CELSR2']
26,CELSR3,Adhesion Class GPCRs,gpcr,['CELSR3']
27,ADGRD2,Adhesion Class GPCRs,gpcr,['ENSACAG00000009403']
28,ADGRE5,Adhesion Class GPCRs,gpcr,['ADGRE5']
29,ADGRF3,Adhesion Class GPCRs,gpcr,['ENSACAG00000008798']
30,ADGRF5,Adhesion Class GPCRs,gpcr,['ADGRF5']
31,ADGRG1,Adhesion Class GPCRs,gpcr,['ADGRG1']
32,ADGRG2,Adhesion Class GPCRs,gpcr,['ADGRG2']
33,ADGRG6,Adhesion Class GPCRs,gpcr,['ADGRG6']
34,ADGRL1,Adhesion Class GPCRs,gpcr,['ADGRL1']
35,ADGRL2,Adhesion Class GPCRs,gpcr,['ADGRL2']
36,ADGRL3,Adhesion Class GPCRs,gpcr,['ADGRL3']
37,ADGRL4,Adhesion Class GPCRs,gpcr,['ADGRL4']
38,ADGRV1,Adhesion Class GPCRs,gpcr,['ADGRV1']
39,α1A-adrenoceptor,Adrenoceptors,gpcr,['ADRA1A']
40,α1D-adrenoceptor,Adrenoceptors,gpcr,['ADRA1D']
41,α2A-adrenoceptor,Adrenoceptors,gpcr,['ADRA2A']
42,α2B-adrenoceptor,Adrenoceptors,gpcr,['ADRA2B']
43,β1-adrenoceptor,Adrenoceptors,gpcr,['ADRB1']
44,β2-adrenoceptor,Adrenoceptors,gpcr,['ADRB2']
45,β3-adrenoceptor,Adrenoceptors,gpcr,['ENSACAG00000000272']
46,AT1 receptor,Angiotensin receptors,gpcr,['AGTR1']
47,AT2 receptor,Angiotensin receptors,gpcr,['AGTR2']
48,apelin receptor,Apelin receptor,gpcr,"['ENSACAG00000007589', 'ENSACAG00000009901']"
49,BB1 receptor,Bombesin receptors,gpcr,['NMBR']
50,BB2 receptor,Bombesin receptors,gpcr,['GRPR']
51,BB3 receptor,Bombesin receptors,gpcr,['BRS3']
52,B2 receptor,Bradykinin receptors,gpcr,['BDKRB2']
53,CT receptor,Calcitonin receptors,gpcr,['CALCR']
54,calcitonin receptor-like receptor,Calcitonin receptors,gpcr,['CALCRL']
55,CaS receptor,Calcium-sensing receptor,gpcr,['CASR']
56,CB1 receptor,Cannabinoid receptors,gpcr,['CNR1']
57,CB2 receptor,Cannabinoid receptors,gpcr,['CNR2']
58,chemerin receptor 1,Chemerin receptors,gpcr,['CMKLR1']
59,chemerin receptor 2,Chemerin receptors,gpcr,['GPR1']
60,CCR1,Chemokine receptors,gpcr,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
61,CCR2,Chemokine receptors,gpcr,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
62,CCR3,Chemokine receptors,gpcr,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
63,CCR4,Chemokine receptors,gpcr,['CCR4']
64,CCR5,Chemokine receptors,gpcr,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
65,CCR6,Chemokine receptors,gpcr,['CCR6']
66,CCR7,Chemokine receptors,gpcr,['CCR7']
67,CCR9,Chemokine receptors,gpcr,['CCR9']
68,CCR10,Chemokine receptors,gpcr,['CCR10']
69,CXCR1,Chemokine receptors,gpcr,"['ENSACAG00000001066', 'ENSACAG00000001076']"
70,CXCR2,Chemokine receptors,gpcr,"['ENSACAG00000001066', 'ENSACAG00000001076']"
71,CXCR3,Chemokine receptors,gpcr,['CXCR3']
72,CXCR4,Chemokine receptors,gpcr,['CXCR4']
73,CXCR5,Chemokine receptors,gpcr,['CXCR5']
74,CXCR6,Chemokine receptors,gpcr,['CXCR6']
75,CX3CR1,Chemokine receptors,gpcr,['CX3CR1']
76,XCR1,Chemokine receptors,gpcr,['XCR1']
77,ACKR3,Chemokine receptors,gpcr,['ACKR3']
78,ACKR4,Chemokine receptors,gpcr,['ACKR4']
79,CCRL2,Chemokine receptors,gpcr,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
80,CCK1 receptor,Cholecystokinin receptors,gpcr,['CCKAR']
81,CCK2 receptor,Cholecystokinin receptors,gpcr,['ENSACAG00000022478']
82,GPR3,Class A Orphans,gpcr,['GPR3']
83,BB3 receptor,Class A Orphans,gpcr,['BRS3']
84,GPR42,Class A Orphans,gpcr,"['ENSACAG00000010287', 'ENSACAG00000025676']"
85,GPR6,Class A Orphans,gpcr,['GPR6']
86,GPR12,Class A Orphans,gpcr,['GPR12']
87,GPR15,Class A Orphans,gpcr,['GPR15']
88,GPR17,Class A Orphans,gpcr,['GPR17']
89,GPR18,Class A Orphans,gpcr,['GPR18']
90,GPR19,Class A Orphans,gpcr,['GPR19']
91,GPR20,Class A Orphans,gpcr,['GPR20']
92,GPR22,Class A Orphans,gpcr,['GPR22']
93,GPR25,Class A Orphans,gpcr,['GPR25']
94,GPR26,Class A Orphans,gpcr,['GPR26']
95,GPR33,Class A Orphans,gpcr,"['ENSACAG00000010602', 'ENSACAG00000026592', 'ENSACAG00000027962']"
96,GPR34,Class A Orphans,gpcr,['GPR34']
97,GPR35,Class A Orphans,gpcr,['ENSACAG00000021978']
98,GPR37L1,Class A Orphans,gpcr,['GPR37L1']
99,GPR39,Class A Orphans,gpcr,"['ENSACAG00000028080', 'ENSACAG00000028207']"
100,GPR45,Class A Orphans,gpcr,['GPR45']
101,GPR50,Class A Orphans,gpcr,['ENSACAG00000013273']
102,GPR61,Class A Orphans,gpcr,['GPR61']
103,GPR62,Class A Orphans,gpcr,['GPR62']
104,GPR63,Class A Orphans,gpcr,['GPR63']
105,GPR65,Class A Orphans,gpcr,['GPR65']
106,GPR68,Class A Orphans,gpcr,['GPR68']
107,GPR75,Class A Orphans,gpcr,['GPR75']
108,GPR84,Class A Orphans,gpcr,['GPR84']
109,GPR85,Class A Orphans,gpcr,['GPR85']
110,GPR87,Class A Orphans,gpcr,['GPR87']
111,GPR88,Class A Orphans,gpcr,['GPR88']
112,GPR119,Class A Orphans,gpcr,['GPR119']
113,GPR139,Class A Orphans,gpcr,['GPR139']
114,GPR141,Class A Orphans,gpcr,['ENSACAG00000022058']
115,GPR142,Class A Orphans,gpcr,['GPR142']
116,GPR149,Class A Orphans,gpcr,['GPR149']
117,GPR151,Class A Orphans,gpcr,['GPR151']
118,GPR160,Class A Orphans,gpcr,['GPR160']
119,GPR161,Class A Orphans,gpcr,['GPR161']
120,GPR162,Class A Orphans,gpcr,['GPR162']
121,GPR171,Class A Orphans,gpcr,['GPR171']
122,GPR173,Class A Orphans,gpcr,['GPR173']
123,GPR176,Class A Orphans,gpcr,['GPR176']
124,GPR182,Class A Orphans,gpcr,['GPR182']
125,LGR4,Class A Orphans,gpcr,['LGR4']
126,LGR5,Class A Orphans,gpcr,['LGR5']
127,LGR6,Class A Orphans,gpcr,['LGR6']
128,MAS1,Class A Orphans,gpcr,['MAS1']
129,MAS1L,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
130,MRGPRD,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
131,MRGPRE,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
132,MRGPRF,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
133,MRGPRG,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
134,MRGPRX1,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
135,MRGPRX2,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
136,MRGPRX3,Class A Orphans,gpcr,"['ENSACAG00000024211', 'ENSACAG00000029032']"
