,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
0,5-LOX activating protein,peptide,['usp34'],,,,,inferred from Human
1,ACTH,peptide,['gfra4'],,,,,inferred from Mouse
2,ADP-ribosylation factor 1,peptide,['arf5'],,,,,inferred from Human
3,BAFF,peptide,['rfxap'],,,,,inferred from Human
4,BDNF,peptide,['bdnf'],,,,,inferred from Human
5,BMP-10,peptide,['BMP10'],,,,,inferred from Human
6,BMP-2,peptide,['armh3'],,,,,inferred from Human
7,BMP-4,peptide,['znhit6'],,,,,inferred from Human
8,BMP-5,peptide,['aatf'],,,,,inferred from Human
9,BMP-6,peptide,['edc4'],,,,,inferred from Human
10,BMP-7,peptide,['bmp7.1'],,,,,inferred from Human
11,BMP-8A,peptide,['ENSXETG00000018014'],,,,,inferred from Human
12,BMP-8B,peptide,['ENSXETG00000018014'],,,,,inferred from Human
13,BMP-9,peptide,['GDF2'],,,,,inferred from Human
14,C-type natriuretic peptide,peptide,['nppc'],,,,,inferred from Human
15,C3a,peptide,"['ENSXETG00000001161', 'ENSXETG00000001392', 'ENSXETG00000010454', 'depdc1', 'trappc6a']",,,,,inferred from Human
16,C5a,peptide,['c5'],,,,,inferred from Human
17,C5a des-Arg,peptide,['c5'],,,,,inferred from Human
18,CCK-33,peptide,['lars1'],,,,,inferred from Human
19,CCK-39,peptide,['lars1'],,,,,inferred from Human
20,CCK-4,peptide,['lars1'],,,,,inferred from Human
21,CCK-58,peptide,['lars1'],,,,,inferred from Human
22,CCK-8,peptide,['lars1'],,,,,inferred from Mouse
23,CCL14,peptide,"['ENSXETG00000006371', 'ENSXETG00000006376']",,,,,inferred from Human
24,CCL15,peptide,"['ENSXETG00000006371', 'ENSXETG00000006376']",,,,,inferred from Human
25,CCL17,peptide,['ENSXETG00000012891'],,,,,inferred from Human
26,CCL22,peptide,['ENSXETG00000012891'],,,,,inferred from Human
27,CCL23,peptide,"['ENSXETG00000006371', 'ENSXETG00000006376']",,,,,inferred from Human
28,CCL5,peptide,['ENSXETG00000012891'],,,,,inferred from Human
29,CD40 ligand,peptide,['CD40LG'],,,,,inferred from Human
30,CLUL1 (52-77),peptide,['faim2'],,,,,inferred from Human
31,CX3CL1,peptide,['ENSXETG00000012891'],,,,,inferred from Human
32,CXCL12α,peptide,['cxcl12'],,,,,inferred from Human
33,CXCL12β,peptide,['cxcl12'],,,,,inferred from Human
34,CXCL12γ,peptide,['cxcl12'],,,,,inferred from Human
35,CXCL12δ,peptide,['cxcl12'],,,,,inferred from Human
36,CXCL12ε,peptide,['cxcl12'],,,,,inferred from Human
37,CXCL12φ,peptide,['cxcl12'],,,,,inferred from Human
38,CXCL8,peptide,"['ENSXETG00000011513', 'ENSXETG00000011521']",,,,,inferred from Human
39,Chgb (511-532),peptide,['ipmk'],,,,,inferred from Rat
40,EGF,peptide,['egf'],,,,,inferred from Human
41,F2L,peptide,['hebp1'],,,,,inferred from Human
42,FLRT3,peptide,['flrt3'],,,,,inferred from Rat
43,Fas ligand,peptide,['FASLG'],,,,,inferred from Human
44,G-CSF,peptide,['reep6'],,,,,inferred from Human
45,GnRH I,peptide,['ifnar2.2'],,,,,inferred from Mouse
46,GnRH II,peptide,['batf'],,,,,inferred from Human
47,Guanylyl cyclase-activating protein 2,peptide,['GUCA1B'],,,,,inferred from Mouse
48,HB-EGF,peptide,['HBEGF'],,,,,inferred from Human
49,IFN-α10,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
50,IFN-α14,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
51,IFN-α16,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
52,IFN-α17,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
53,IFN-α2,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
54,IFN-α21,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
55,IFN-α4,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
56,IFN-α5,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
57,IFN-α6,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
58,IFN-α7,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
59,IFN-α8,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
60,IFN-β,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
61,IFN-κ,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
62,IFN-λ1,peptide,"['ENSXETG00000004095', 'maoa', 'arhgef16']",,,,,inferred from Human
63,IFN-λ2,peptide,"['ENSXETG00000004095', 'maoa', 'arhgef16']",,,,,inferred from Human
64,IFN-λ3,peptide,"['ENSXETG00000004095', 'maoa', 'arhgef16']",,,,,inferred from Human
65,IFN-ω,peptide,"['ENSXETG00000011075', 'ENSXETG00000011089', 'ifn4', 'ENSXETG00000011139']",,,,,inferred from Human
66,IL-1 receptor antagonist,peptide,['cdc42ep3'],,,,,inferred from Human
67,IL-10,peptide,['atf6'],,,,,inferred from Human
68,IL-11,peptide,['ENSXETG00000011393'],,,,,inferred from Human
69,IL-17B,peptide,['nudcd3'],,,,,inferred from Human
70,IL-17C,peptide,['ENSXETG00000017307'],,,,,inferred from Human
71,IL-17F,peptide,"['ENSXETG00000012425', 'ENSXETG00000012451']",,,,,inferred from Human
72,IL-1β,peptide,['cdc42ep3'],,,,,inferred from Human
73,IL-21,peptide,['IL-21'],,,,,inferred from Human
74,IL-22,peptide,['il22'],,,,,inferred from Human
75,IL-25,peptide,['ENSXETG00000017307'],,,,,inferred from Human
76,IL-36 receptor antagonist,peptide,['cdc42ep3'],,,,,inferred from Human
77,IL-36α,peptide,['cdc42ep3'],,,,,inferred from Human
78,IL-36β,peptide,['cdc42ep3'],,,,,inferred from Human
79,IL-36γ,peptide,['cdc42ep3'],,,,,inferred from Human
80,IL-37,peptide,['cdc42ep3'],,,,,inferred from Human
81,IL-6,peptide,['ENSXETG00000004415'],,,,,inferred from Human
82,IL-9,peptide,['IL-9'],,,,,inferred from Human
83,INSL5,peptide,['coasy'],,,,,inferred from Mouse
84,LIF,peptide,['abca4'],,,,,inferred from Human
85,LIGHT,peptide,['TNFSF14'],,,,,inferred from Human
86,MANSC (415-431),peptide,['phrf1'],,,,,inferred from Human
87,MSMB (91-114),peptide,"['ENSXETG00000010562', 'ugt8']",,,,,inferred from Human
88,Müllerian inhibiting substance,peptide,['AMH'],,,,,inferred from Human
89,NGF,peptide,['rnaseh2a'],,,,,inferred from Human
90,NPY,peptide,['rnaseh2a'],,,,,inferred from Human
91,PACAP-27,peptide,['cramp1'],,,,,inferred from Mouse
92,PACAP-38,peptide,['cramp1'],,,,,inferred from Mouse
93,PAMP-20,peptide,['gdf3'],,,,,inferred from Human
94,PHM,peptide,['VIP'],,,,,inferred from Human
95,PHV,peptide,['VIP'],,,,,inferred from Rat
96,PTHrP,peptide,['PTHLH'],,,,,inferred from Human
97,PTHrP-(1-36),peptide,['PTHLH'],,,,,inferred from Human
98,PYY-(3-36),peptide,['slamf8'],,,,,inferred from Mouse
99,PrRP-20,peptide,['ENSXETG00000016780'],,,,,inferred from Rat
100,PrRP-31,peptide,['ENSXETG00000016780'],,,,,inferred from Rat
101,QRFP26,peptide,['ucn3'],,,,,inferred from Mouse
102,QRFP43,peptide,['ucn3'],,,,,inferred from Mouse
103,R-spondin-1,peptide,['rspo1'],,,,,inferred from Mouse
104,R-spondin-2,peptide,['rspo2'],,,,,inferred from Mouse
105,R-spondin-3,peptide,['rspo3'],,,,,inferred from Mouse
106,RANK ligand,peptide,['TNFSF11'],,,,,inferred from Human
107,RFRP-3,peptide,['ENSXETG00000005439'],,,,,inferred from Human
108,SRIF-14,peptide,['sst.1'],,,,,inferred from Mouse
109,SRIF-28,peptide,['sst.1'],,,,,inferred from Mouse
