,receptor,family,type,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,gpcr,['htr1ab']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,gpcr,"['htr1b', 'htr1d']"
2,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,"['htr2aa', 'htr2ab']"
3,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['htr2b']
4,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,"['htr2cl2', 'htr2cl1']"
5,5-HT4 receptor,5-Hydroxytryptamine receptors,gpcr,['htr4']
6,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,"['htr5aa', 'htr5ab']"
7,5-HT6 receptor,5-Hydroxytryptamine receptors,gpcr,['htr6']
8,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,"['htr7a', 'HTR7']"
9,M1 receptor,Acetylcholine receptors (muscarinic),gpcr,['chrm1a']
10,M2 receptor,Acetylcholine receptors (muscarinic),gpcr,"['chrm2a', 'chrm2b']"
11,M3 receptor,Acetylcholine receptors (muscarinic),gpcr,"['chrm3a', 'chrm3b']"
12,M4 receptor,Acetylcholine receptors (muscarinic),gpcr,['chrm4a']
13,M5 receptor,Acetylcholine receptors (muscarinic),gpcr,"['chrm5b', 'chrm5a']"
14,A1 receptor,Adenosine receptors,gpcr,"['adora1a', 'adora1b']"
15,A2A receptor,Adenosine receptors,gpcr,['adora2aa']
16,A2B receptor,Adenosine receptors,gpcr,['adora2b']
17,A3 receptor,Adenosine receptors,gpcr,"['CR847944.1', 'adora4a']"
18,ADGRA2,Adhesion Class GPCRs,gpcr,['adgra2']
19,ADGRA3,Adhesion Class GPCRs,gpcr,['adgra3']
20,ADGRB1,Adhesion Class GPCRs,gpcr,"['adgrb1a', 'adgrb1b']"
21,ADGRB2,Adhesion Class GPCRs,gpcr,['adgrb2']
22,ADGRB3,Adhesion Class GPCRs,gpcr,['adgrb3']
23,CELSR1,Adhesion Class GPCRs,gpcr,"['celsr1b', 'celsr1a']"
24,CELSR2,Adhesion Class GPCRs,gpcr,['celsr2']
25,CELSR3,Adhesion Class GPCRs,gpcr,['celsr3']
26,ADGRD1,Adhesion Class GPCRs,gpcr,['adgrd1']
27,ADGRD2,Adhesion Class GPCRs,gpcr,['adgrd2']
28,ADGRE5,Adhesion Class GPCRs,gpcr,['si:ch211-241f5.3']
29,ADGRF1,Adhesion Class GPCRs,gpcr,"['adgrf11', 'adgrf7', 'adgrf6', 'adgrf8']"
30,ADGRG2,Adhesion Class GPCRs,gpcr,['adgrg4b']
31,ADGRG3,Adhesion Class GPCRs,gpcr,"['CABZ01056052.1', 'CABZ01056051.1']"
32,ADGRG6,Adhesion Class GPCRs,gpcr,['adgrg6']
33,ADGRG7,Adhesion Class GPCRs,gpcr,"['adgrg7.2', 'adgrg7.1']"
34,ADGRL1,Adhesion Class GPCRs,gpcr,"['adgrl1a', 'CABZ01084617.1']"
35,ADGRL2,Adhesion Class GPCRs,gpcr,"['adgrl2a', 'ADGRL2', 'adgrl2b.1']"
36,ADGRL3,Adhesion Class GPCRs,gpcr,"['adgrl3.1', 'ADGRL3']"
37,ADGRL4,Adhesion Class GPCRs,gpcr,['adgrl4']
38,ADGRV1,Adhesion Class GPCRs,gpcr,['adgrv1']
39,α1A-adrenoceptor,Adrenoceptors,gpcr,['adra1aa']
40,α1B-adrenoceptor,Adrenoceptors,gpcr,"['adra1ba', 'adra1bb']"
41,α1D-adrenoceptor,Adrenoceptors,gpcr,['adra1d']
42,α2A-adrenoceptor,Adrenoceptors,gpcr,['FP236542.1']
43,α2B-adrenoceptor,Adrenoceptors,gpcr,['adra2b']
44,α2C-adrenoceptor,Adrenoceptors,gpcr,['adra2c']
45,β1-adrenoceptor,Adrenoceptors,gpcr,['adrb1']
46,β2-adrenoceptor,Adrenoceptors,gpcr,"['adrb2b', 'adrb2a']"
47,β3-adrenoceptor,Adrenoceptors,gpcr,"['adrb3b', 'adrb3a']"
48,AT1 receptor,Angiotensin receptors,gpcr,"['agtr1a', 'agtr1b']"
49,AT2 receptor,Angiotensin receptors,gpcr,['agtr2']
50,apelin receptor,Apelin receptor,gpcr,['aplnr2']
51,BB1 receptor,Bombesin receptors,gpcr,['nmbr']
52,BB2 receptor,Bombesin receptors,gpcr,['grpr']
53,B1 receptor,Bradykinin receptors,gpcr,['bdkrb1']
54,B2 receptor,Bradykinin receptors,gpcr,['BDKRB2']
55,CT receptor,Calcitonin receptors,gpcr,['calcr']
56,calcitonin receptor-like receptor,Calcitonin receptors,gpcr,['calcrlb']
57,CaS receptor,Calcium-sensing receptor,gpcr,['casr']
58,CB1 receptor,Cannabinoid receptors,gpcr,['cnr1']
