,receptor,family,type,gene
0,5-HT1B receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1B']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1D']
2,5-ht1e receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1E']
3,5-HT1F receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1F']
4,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,['slc25a29']
5,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['rhoc']
6,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,['HTR2C']
7,5-HT4 receptor,5-Hydroxytryptamine receptors,gpcr,['rgs9bp']
8,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,['gas8']
9,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,['exd2']
10,M1 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM1']
11,M2 receptor,Acetylcholine receptors (muscarinic),gpcr,['CHRM2']
12,M3 receptor,Acetylcholine receptors (muscarinic),gpcr,"['ENSXETG00000015200', 'ENSXETG00000020181']"
13,M4 receptor,Acetylcholine receptors (muscarinic),gpcr,['cfb']
14,M5 receptor,Acetylcholine receptors (muscarinic),gpcr,['slitrk3']
15,A1 receptor,Adenosine receptors,gpcr,['slbp']
16,A2A receptor,Adenosine receptors,gpcr,['ctu2']
17,A2B receptor,Adenosine receptors,gpcr,['fbxl18']
18,A3 receptor,Adenosine receptors,gpcr,"['ENSXETG00000020484', 'ENSXETG00000020564', 'ENSXETG00000021058']"
19,ADGRA1,Adhesion Class GPCRs,gpcr,['ADGRA1']
20,ADGRA2,Adhesion Class GPCRs,gpcr,['ADGRA2']
21,ADGRA3,Adhesion Class GPCRs,gpcr,['ADGRA3']
22,ADGRB1,Adhesion Class GPCRs,gpcr,['gtf2i']
23,ADGRB2,Adhesion Class GPCRs,gpcr,['htatsf1']
24,ADGRB3,Adhesion Class GPCRs,gpcr,['galnt4']
