,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
1,5-LOX activating protein,peptide,['usp34'],,,,,inferred from Human
2,ACTH,peptide,['gfra4'],,,,,inferred from Mouse
3,ADP-ribosylation factor 1,peptide,['arf5'],,,,,inferred from Human
6,BAFF,peptide,['rfxap'],,,,,inferred from Human
7,BDNF,peptide,['bdnf'],,,,,inferred from Human
8,BMP-10,peptide,['BMP10'],,,,,inferred from Human
9,BMP-2,peptide,['armh3'],,,,,inferred from Human
10,BMP-4,peptide,['znhit6'],,,,,inferred from Human
11,BMP-5,peptide,['aatf'],,,,,inferred from Human
12,BMP-6,peptide,['edc4'],,,,,inferred from Human
13,BMP-7,peptide,['bmp7.1'],,,,,inferred from Human
14,BMP-8A,peptide,['ENSXETG00000018014'],,,,,inferred from Human
15,BMP-8B,peptide,['ENSXETG00000018014'],,,,,inferred from Human
16,BMP-9,peptide,['GDF2'],,,,,inferred from Human
17,C-type natriuretic peptide,peptide,['nppc'],,,,,inferred from Human
18,C3a,peptide,"['ENSXETG00000001161', 'ENSXETG00000001392', 'ENSXETG00000010454', 'depdc1', 'trappc6a']",,,,,inferred from Human
19,C5a,peptide,['c5'],,,,,inferred from Human
20,C5a des-Arg,peptide,['c5'],,,,,inferred from Human
21,CCK-33,peptide,['lars1'],,,,,inferred from Human
22,CCK-39,peptide,['lars1'],,,,,inferred from Human
23,CCK-4,peptide,['lars1'],,,,,inferred from Human
24,CCK-58,peptide,['lars1'],,,,,inferred from Human
25,CCK-8,peptide,['lars1'],,,,,inferred from Mouse
29,CCL14,peptide,"['ENSXETG00000006371', 'ENSXETG00000006376']",,,,,inferred from Human
30,CCL15,peptide,"['ENSXETG00000006371', 'ENSXETG00000006376']",,,,,inferred from Human
32,CCL17,peptide,['ENSXETG00000012891'],,,,,inferred from Human
38,CCL22,peptide,['ENSXETG00000012891'],,,,,inferred from Human
39,CCL23,peptide,"['ENSXETG00000006371', 'ENSXETG00000006376']",,,,,inferred from Human
47,CCL5,peptide,['ENSXETG00000012891'],,,,,inferred from Human
51,CD40 ligand,peptide,['CD40LG'],,,,,inferred from Human
53,CLUL1 (52-77),peptide,['faim2'],,,,,inferred from Human
57,CX3CL1,peptide,['ENSXETG00000012891'],,,,,inferred from Human
61,CXCL12α,peptide,['cxcl12'],,,,,inferred from Human
