,receptor,family,gene
0,5-HT1B receptor,5-Hydroxytryptamine receptors,['HTR1B']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,['ENSACAG00000000499']
2,5-HT2A receptor,5-Hydroxytryptamine receptors,['HTR2A']
3,5-HT2B receptor,5-Hydroxytryptamine receptors,['HTR2B']
4,5-HT4 receptor,5-Hydroxytryptamine receptors,['HTR4']
5,5-HT6 receptor,5-Hydroxytryptamine receptors,['ENSACAG00000013729']
6,5-HT7 receptor,5-Hydroxytryptamine receptors,"['HTR7', 'HTR7']"
7,M1 receptor,Acetylcholine receptors (muscarinic),['CHRM1']
8,M2 receptor,Acetylcholine receptors (muscarinic),['CHRM2']
9,M3 receptor,Acetylcholine receptors (muscarinic),['CHRM3']
10,M4 receptor,Acetylcholine receptors (muscarinic),['CHRM4']
11,M5 receptor,Acetylcholine receptors (muscarinic),['CHRM5']
12,A1 receptor,Adenosine receptors,['ADORA1']
13,A2A receptor,Adenosine receptors,['ADORA2A']
14,A3 receptor,Adenosine receptors,"['ADORA3', 'ADORA3']"
15,ADGRA1,Adhesion Class GPCRs,['ADGRA1']
16,ADGRA2,Adhesion Class GPCRs,['ADGRA2']
17,ADGRA3,Adhesion Class GPCRs,['ADGRA3']
18,ADGRB2,Adhesion Class GPCRs,"['ENSACAG00000008106', 'ENSACAG00000011853']"
19,ADGRB3,Adhesion Class GPCRs,['ADGRB3']
20,CELSR1,Adhesion Class GPCRs,['CELSR1']
21,CELSR2,Adhesion Class GPCRs,['CELSR2']
22,CELSR3,Adhesion Class GPCRs,['CELSR3']
23,ADGRE5,Adhesion Class GPCRs,['ADGRE5']
24,ADGRF3,Adhesion Class GPCRs,['ENSACAG00000008798']
25,ADGRF5,Adhesion Class GPCRs,['ADGRF5']
26,ADGRG1,Adhesion Class GPCRs,['ADGRG1']
27,ADGRG2,Adhesion Class GPCRs,['ADGRG2']
28,ADGRG6,Adhesion Class GPCRs,['ADGRG6']
29,ADGRL1,Adhesion Class GPCRs,['ADGRL1']
30,ADGRL2,Adhesion Class GPCRs,['ADGRL2']
31,ADGRL3,Adhesion Class GPCRs,['ENSACAG00000000226']
32,ADGRL4,Adhesion Class GPCRs,['ADGRL4']
33,ADGRV1,Adhesion Class GPCRs,['ADGRV1']
34,α1A-adrenoceptor,Adrenoceptors,['ADRA1A']
35,α1D-adrenoceptor,Adrenoceptors,['ADRA1D']
36,α2A-adrenoceptor,Adrenoceptors,['ADRA2A']
37,α2B-adrenoceptor,Adrenoceptors,['ADRA2B']
38,β1-adrenoceptor,Adrenoceptors,['ADRB1']
39,β2-adrenoceptor,Adrenoceptors,['ADRB2']
40,β3-adrenoceptor,Adrenoceptors,['ENSACAG00000000272']
41,AT2 receptor,Angiotensin receptors,['AGTR2']
42,apelin receptor,Apelin receptor,"['ENSACAG00000007589', 'ENSACAG00000009901']"
43,BB1 receptor,Bombesin receptors,['NMBR']
44,BB2 receptor,Bombesin receptors,['GRPR']
45,BB3 receptor,Bombesin receptors,['BRS3']
46,B2 receptor,Bradykinin receptors,['BDKRB2']
47,CT receptor,Calcitonin receptors,['CALCR']
48,calcitonin receptor-like receptor,Calcitonin receptors,['CALCRL']
49,CaS receptor,Calcium-sensing receptor,['CASR']
50,CB1 receptor,Cannabinoid receptors,['CNR1']
51,CB2 receptor,Cannabinoid receptors,['CNR2']
52,chemerin receptor 1,Chemerin receptors,['CMKLR1']
53,chemerin receptor 2,Chemerin receptors,['GPR1']
54,CCR1,Chemokine receptors,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
55,CCR3,Chemokine receptors,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
56,CCR4,Chemokine receptors,['CCR4']
57,CCR5,Chemokine receptors,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
58,CCR6,Chemokine receptors,['CCR6']
59,CCR7,Chemokine receptors,['CCR7']
60,CCR9,Chemokine receptors,['CCR9']
61,CCR10,Chemokine receptors,['CCR10']
62,CXCR1,Chemokine receptors,"['ENSACAG00000001066', 'ENSACAG00000001076']"
63,CXCR2,Chemokine receptors,"['ENSACAG00000001066', 'ENSACAG00000001076']"
64,CXCR3,Chemokine receptors,['CXCR3']
65,CXCR4,Chemokine receptors,['CXCR4']
66,CXCR5,Chemokine receptors,['CXCR5']
67,CXCR6,Chemokine receptors,['CXCR6']
68,CX3CR1,Chemokine receptors,['CX3CR1']
69,XCR1,Chemokine receptors,['XCR1']
70,ACKR3,Chemokine receptors,['ACKR3']
71,ACKR4,Chemokine receptors,['ACKR4']
72,CCRL2,Chemokine receptors,"['ENSACAG00000014097', 'ENSACAG00000021130', 'ENSACAG00000028320']"
73,CCK1 receptor,Cholecystokinin receptors,['CCKAR']
74,CCK2 receptor,Cholecystokinin receptors,"['ENSACAG00000022478', 'ENSACAG00000025606']"
75,GPR3,Class A Orphans,['GPR3']
76,BB3 receptor,Class A Orphans,['BRS3']
77,GPR6,Class A Orphans,['GPR6']
78,GPR12,Class A Orphans,['GPR12']
79,GPR15,Class A Orphans,['GPR15']
80,GPR17,Class A Orphans,['GPR17']
81,GPR18,Class A Orphans,['GPR18']
82,GPR19,Class A Orphans,['GPR19']
83,GPR22,Class A Orphans,['GPR22']
84,GPR25,Class A Orphans,['GPR25']
85,GPR26,Class A Orphans,['GPR26']
86,GPR33,Class A Orphans,"['ENSACAG00000010602', 'ENSACAG00000026592', 'ENSACAG00000027962']"
87,GPR34,Class A Orphans,['GPR34']
88,GPR35,Class A Orphans,['ENSACAG00000021978']
89,GPR37L1,Class A Orphans,['GPR37L1']
90,GPR39,Class A Orphans,"['ENSACAG00000028080', 'ENSACAG00000028207']"
91,GPR45,Class A Orphans,['GPR45']
92,GPR50,Class A Orphans,['ENSACAG00000013273']
93,GPR61,Class A Orphans,['GPR61']
94,GPR62,Class A Orphans,['GPR62']
95,GPR63,Class A Orphans,['GPR63']
96,GPR65,Class A Orphans,['GPR65']
97,GPR68,Class A Orphans,"['GPR68', 'GPR68']"
98,GPR75,Class A Orphans,['GPR75']
99,GPR84,Class A Orphans,['GPR84']
100,GPR85,Class A Orphans,['GPR85']
101,GPR87,Class A Orphans,['GPR87']
102,GPR88,Class A Orphans,['GPR88']
103,GPR119,Class A Orphans,['GPR119']
104,GPR132,Class A Orphans,['P2RY11']
105,GPR139,Class A Orphans,['GPR139']
106,GPR141,Class A Orphans,['ENSACAG00000022058']
107,GPR142,Class A Orphans,['GPR142']
108,GPR149,Class A Orphans,['GPR149']
109,GPR150,Class A Orphans,['ENSACAG00000023755']
110,GPR151,Class A Orphans,['GPR151']
111,GPR160,Class A Orphans,['GPR160']
112,GPR161,Class A Orphans,['GPR161']
113,GPR162,Class A Orphans,['GPR162']
114,GPR171,Class A Orphans,['GPR171']
115,GPR173,Class A Orphans,['GPR173']
116,GPR176,Class A Orphans,['GPR176']
117,GPR182,Class A Orphans,['GPR182']
118,LGR4,Class A Orphans,['LGR4']
119,LGR5,Class A Orphans,['LGR5']
120,LGR6,Class A Orphans,['LGR6']
121,MAS1,Class A Orphans,"['ENSACAG00000004224', 'ENSACAG00000024211', 'ENSACAG00000029032']"
122,P2RY10,Class A Orphans,"['ENSACAG00000000910', 'ENSACAG00000027131']"
