,receptor,family,type,gene
0,5-HT1A receptor,5-Hydroxytryptamine receptors,gpcr,"['Dop1R1', 'Dop1R2']"
1,5-HT1B receptor,5-Hydroxytryptamine receptors,gpcr,"['5-HT1A', '5-HT1B']"
2,5-HT1D receptor,5-Hydroxytryptamine receptors,gpcr,"['Dop1R1', 'Dop1R2']"
3,5-ht1e receptor,5-Hydroxytryptamine receptors,gpcr,"['5-HT1A', '5-HT1B']"
4,5-HT1F receptor,5-Hydroxytryptamine receptors,gpcr,"['5-HT1A', '5-HT1B']"
5,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,['5-HT2A']
6,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['5-HT2A']
7,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,['5-HT2A']
8,5-HT6 receptor,5-Hydroxytryptamine receptors,gpcr,['5-HT7']
9,A2A receptor,Adenosine receptors,gpcr,['AdoR']
10,A2B receptor,Adenosine receptors,gpcr,['AdoR']
11,CELSR1,Adhesion Class GPCRs,gpcr,['stan']
12,CELSR2,Adhesion Class GPCRs,gpcr,['stan']
13,CELSR3,Adhesion Class GPCRs,gpcr,['stan']
14,CCK1 receptor,Cholecystokinin receptors,gpcr,"['CCKLR-17D3', 'CCKLR-17D1']"
15,CCK2 receptor,Cholecystokinin receptors,gpcr,"['CCKLR-17D3', 'CCKLR-17D1']"
16,GPR37,Class A Orphans,gpcr,"['CCHa2-R', 'CCHa1-R']"
17,GPR37L1,Class A Orphans,gpcr,"['CCHa2-R', 'CCHa1-R']"
18,GPR39,Class A Orphans,gpcr,['ETHR']
19,GPR139,Class A Orphans,gpcr,"['Proc-R', 'SPR', 'CG15614', 'FMRFaR', 'CG33639', 'CNMaR']"
20,GPR142,Class A Orphans,gpcr,"['Proc-R', 'SPR', 'CG15614', 'FMRFaR', 'CG33639', 'CNMaR']"
21,GPR148,Class A Orphans,gpcr,['ETHR']
22,GPR156,Class C Orphans,gpcr,['GABA-B-R2']
23,FZD4,Class Frizzled GPCRs,gpcr,['fz4']
24,SMO,Class Frizzled GPCRs,gpcr,['smo']
25,CRF1 receptor,Corticotropin-releasing factor receptors,gpcr,"['Dh44-R1', 'Dh44-R1']"
26,GABAB1,GABAB receptors,gpcr,['GABA-B-R1']
27,GABAB2,GABAB receptors,gpcr,['GABA-B-R2']
28,GAL1 receptor,Galanin receptors,gpcr,['RYa-R']
29,GAL2 receptor,Galanin receptors,gpcr,"['AstA-R2', 'AstA-R1']"
30,GAL3 receptor,Galanin receptors,gpcr,['RYa-R']
31,FSH receptor,Glycoprotein hormone receptors,gpcr,['Lgr1']
32,LH receptor,Glycoprotein hormone receptors,gpcr,['Lgr1']
33,TSH receptor,Glycoprotein hormone receptors,gpcr,['Lgr1']
34,GnRH1 receptor,Gonadotrophin-releasing hormone receptors,gpcr,"['AkhR', 'CrzR']"
35,H1 receptor,Histamine receptors,gpcr,['mAChR-C']
36,kisspeptin receptor,Kisspeptin receptor,gpcr,['AstC-R1']
37,mGlu1 receptor,Metabotropic glutamate receptors,gpcr,['mtt']
38,mGlu2 receptor,Metabotropic glutamate receptors,gpcr,['mGluR']
39,mGlu3 receptor,Metabotropic glutamate receptors,gpcr,['mGluR']
40,mGlu5 receptor,Metabotropic glutamate receptors,gpcr,['mtt']
41,mGlu8 receptor,Metabotropic glutamate receptors,gpcr,['mGluR']
42,NMU1 receptor,Neuromedin U receptors,gpcr,"['CapaR', 'PK2-R2', 'PK2-R1', 'PK1-R']"
43,NMU2 receptor,Neuromedin U receptors,gpcr,"['CapaR', 'PK2-R2', 'PK2-R1', 'PK1-R']"
44,NPFF1 receptor,Neuropeptide FF/neuropeptide AF receptors,gpcr,['SIFaR']
45,NPFF2 receptor,Neuropeptide FF/neuropeptide AF receptors,gpcr,['SIFaR']
46,NTS1 receptor,Neurotensin receptors,gpcr,['ETHR']
47,NTS2 receptor,Neurotensin receptors,gpcr,['ETHR']
48,OPN3,Opsin receptors,gpcr,['Rep']
49,OPN4,Opsin receptors,gpcr,"['ninaE', 'Rh2', 'Rh3', 'Rh4', 'Rh5', 'Rh6']"
50,OX1 receptor,Orexin receptors,gpcr,['SIFaR']
51,OX2 receptor,Orexin receptors,gpcr,['SIFaR']
52,GPR107,Other 7TM proteins,gpcr,['CG12121']
53,EP3 receptor,Prostanoid receptors,gpcr,['CG7497']
54,EP4 receptor,Prostanoid receptors,gpcr,['CG7497']
55,TP receptor,Prostanoid receptors,gpcr,['CG7497']
56,SST2 receptor,Somatostatin receptors,gpcr,['AstC-R2']
57,NK2 receptor,Tachykinin receptors,gpcr,"['TkR99D', 'TkR86C']"
58,UT receptor,Urotensin receptor,gpcr,['AstC-R1']
59,V2 receptor,Vasopressin and oxytocin receptors,gpcr,['CCAP-R']
60,Hepatocyte nuclear factor-4-α,2A. Hepatocyte nuclear factor-4 receptors,nhr,"['usp', 'Hr78', 'Hr83']"
61,Hepatocyte nuclear factor-4-γ,2A. Hepatocyte nuclear factor-4 receptors,nhr,"['usp', 'Hr78', 'Hr83']"
62,Retinoid X receptor-α,2B. Retinoid X receptors,nhr,"['usp', 'Hr78', 'Hr83']"
63,Retinoid X receptor-β,2B. Retinoid X receptors,nhr,"['usp', 'Hr78', 'Hr83']"
64,Retinoid X receptor-γ,2B. Retinoid X receptors,nhr,"['usp', 'Hnf4', 'Hr78', 'Hr83']"
65,Testicular receptor 2,2C. Testicular receptors,nhr,"['usp', 'Hr78', 'Hr83']"
66,Testicular receptor 4,2C. Testicular receptors,nhr,"['usp', 'Hr78', 'Hr83']"
67,TLX,2E. Tailless-like receptors,nhr,['tll']
68,PNR,2E. Tailless-like receptors,nhr,['Hr51']
69,COUP-TF1,2F. COUP-TF-like receptors,nhr,['Hr83']
70,COUP-TF2,2F. COUP-TF-like receptors,nhr,"['usp', 'Hr78', 'Hr83']"
71,V-erbA-related gene,2F. COUP-TF-like receptors,nhr,"['usp', 'Hr78', 'Hr83']"
72,Estrogen receptor-α,3A. Estrogen receptors,nhr,['ERR']
73,Estrogen receptor-β,3A. Estrogen receptors,nhr,['ERR']
74,Estrogen-related receptor-α,3B. Estrogen-related receptors,nhr,['ERR']
75,Estrogen-related receptor-β,3B. Estrogen-related receptors,nhr,['ERR']
76,Estrogen-related receptor-γ,3B. Estrogen-related receptors,nhr,['ERR']
77,Androgen receptor,3C. 3-Ketosteroid receptors,nhr,['ERR']
78,Glucocorticoid receptor,3C. 3-Ketosteroid receptors,nhr,['ERR']
79,Mineralocorticoid receptor,3C. 3-Ketosteroid receptors,nhr,['ERR']
80,Progesterone receptor,3C. 3-Ketosteroid receptors,nhr,['ERR']
81,Nerve Growth factor IB,4A. Nerve growth factor IB-like receptors,nhr,['Hr38']
82,Nuclear receptor related 1,4A. Nerve growth factor IB-like receptors,nhr,['Hr38']
83,Neuron-derived orphan receptor 1,4A. Nerve growth factor IB-like receptors,nhr,['Hr38']
84,Steroidogenic factor 1,5A. Fushi tarazu F1-like receptors,nhr,"['ftz-f1', 'Hr39']"
85,Liver receptor homolog-1,5A. Fushi tarazu F1-like receptors,nhr,"['ftz-f1', 'Hr39']"
86,Germ cell nuclear factor,6A. Germ cell nuclear factor receptors,nhr,['Hr4']
87,KCa1.1,Calcium- and sodium-activated potassium channels,vgic,['SLO2']
88,KCa2.1,Calcium- and sodium-activated potassium channels,vgic,['SK']
