,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
1,5-LOX activating protein,peptide,['ALOX5AP'],,,,,inferred from Human
2,ACTH,peptide,['POMC'],,,,,inferred from Mouse
3,ADP-ribosylation factor 1,peptide,['ARF1'],,,,,inferred from Human
4,APRIL,peptide,['ENSACAG00000029063'],,,,,inferred from Human
6,BAFF,peptide,['TNFSF13B'],,,,,inferred from Human
7,BDNF,peptide,['BDNF'],,,,,inferred from Human
9,BMP-2,peptide,['BMP2'],,,,,inferred from Human
10,BMP-4,peptide,['BMP4'],,,,,inferred from Human
11,BMP-5,peptide,['BMP5'],,,,,inferred from Human
12,BMP-6,peptide,['BMP6'],,,,,inferred from Human
13,BMP-7,peptide,['BMP7'],,,,,inferred from Human
14,BMP-8A,peptide,['ENSACAG00000002816'],,,,,inferred from Human
15,BMP-8B,peptide,['ENSACAG00000002816'],,,,,inferred from Human
16,BMP-9,peptide,['ENSACAG00000026635'],,,,,inferred from Human
18,C3a,peptide,"['ENSACAG00000014786', 'ENSACAG00000017192', 'ENSACAG00000017334', 'ENSACAG00000028697']",,,,,inferred from Human
19,C5a,peptide,"['ENSACAG00000003152', 'ENSACAG00000026405', 'ENSACAG00000029332']",,,,,inferred from Human
20,C5a des-Arg,peptide,"['ENSACAG00000003152', 'ENSACAG00000026405', 'ENSACAG00000029332']",,,,,inferred from Human
21,CCK-33,peptide,['CCK'],,,,,inferred from Human
22,CCK-39,peptide,['CCK'],,,,,inferred from Human
23,CCK-4,peptide,['CCK'],,,,,inferred from Human
24,CCK-58,peptide,['CCK'],,,,,inferred from Human
25,CCK-8,peptide,['CCK'],,,,,inferred from Mouse
36,CCL20,peptide,['CCL20'],,,,,inferred from Human
50,CD30 ligand,peptide,['TNFSF8'],,,,,inferred from Human
51,CD40 ligand,peptide,['CD40LG'],,,,,inferred from Human
53,CLUL1 (52-77),peptide,['CLUL1'],,,,,inferred from Human
54,CRAMP,peptide,['ENSACAG00000006634'],,,,,inferred from Mouse
61,CXCL12α,peptide,['CXCL12'],,,,,inferred from Human
62,CXCL12β,peptide,['CXCL12'],,,,,inferred from Human
63,CXCL12γ,peptide,['CXCL12'],,,,,inferred from Human
64,CXCL12δ,peptide,['CXCL12'],,,,,inferred from Human
65,CXCL12ε,peptide,['CXCL12'],,,,,inferred from Human
66,CXCL12φ,peptide,['CXCL12'],,,,,inferred from Human
74,CXCL7,peptide,['ENSACAG00000028995'],,,,,inferred from Human
75,CXCL8,peptide,['ENSACAG00000011382'],,,,,inferred from Human
79,Chgb (511-532),peptide,['CHGB'],,,,,inferred from Rat
80,EGF,peptide,['EGF'],,,,,inferred from Human
84,F2L,peptide,['HEBP1'],,,,,inferred from Human
85,FLRT3,peptide,['FLRT3'],,,,,inferred from Rat
87,Fas ligand,peptide,['FASLG'],,,,,inferred from Human
88,Fms-related tyrosine kinase 3 ligand,peptide,['FLT3LG'],,,,,inferred from Human
89,G-CSF,peptide,['CSF3'],,,,,inferred from Human
90,GHRH,peptide,['ENSACAG00000011836'],,,,,inferred from Human
96,Guanylyl cyclase-activating protein 2,peptide,['GUCA1B'],,,,,inferred from Mouse
97,HB-EGF,peptide,['HBEGF'],,,,,inferred from Human
99,IFN-α10,peptide,"['ENSACAG00000017572', 'ENSACAG00000017580', 'ENSACAG00000024853', 'ENSACAG00000025902', 'ENSACAG00000026778', 'ENSACAG00000027003']",,,,,inferred from Human
100,IFN-α14,peptide,"['ENSACAG00000017572', 'ENSACAG00000017580', 'ENSACAG00000024853', 'ENSACAG00000025902', 'ENSACAG00000026778', 'ENSACAG00000027003']",,,,,inferred from Human
101,IFN-α16,peptide,"['ENSACAG00000017572', 'ENSACAG00000017580', 'ENSACAG00000024853', 'ENSACAG00000025902', 'ENSACAG00000026778', 'ENSACAG00000027003']",,,,,inferred from Human
102,IFN-α17,peptide,"['ENSACAG00000017572', 'ENSACAG00000017580', 'ENSACAG00000024853', 'ENSACAG00000025902', 'ENSACAG00000026778', 'ENSACAG00000027003']",,,,,inferred from Human
103,IFN-α2,peptide,"['ENSACAG00000017572', 'ENSACAG00000017580', 'ENSACAG00000024853', 'ENSACAG00000025902', 'ENSACAG00000026778', 'ENSACAG00000027003']",,,,,inferred from Human
