,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
0,4-1BB ligand,peptide,['TNFSF9'],,,,,inferred from Human
1,5-LOX activating protein,peptide,['ALOX5AP'],,,,,inferred from Human
2,ACTH,peptide,['POMC'],,,,,inferred from Mouse
3,ADP-ribosylation factor 1,peptide,['ARF1'],,,,,inferred from Human
4,APRIL,peptide,['TNFSF13'],,,,,inferred from Human
5,B and T lymphocyte attenuator,peptide,['BTLA'],,,,,inferred from Human
6,BAFF,peptide,['TNFSF13B'],,,,,inferred from Human
7,BDNF,peptide,['BDNF'],,,,,inferred from Human
8,BMP-10,peptide,['BMP10'],,,,,inferred from Human
9,BMP-2,peptide,['BMP2'],,,,,inferred from Human
10,BMP-4,peptide,['BMP4'],,,,,inferred from Human
11,BMP-5,peptide,['BMP5'],,,,,inferred from Human
12,BMP-6,peptide,['BMP6'],,,,,inferred from Human
13,BMP-7,peptide,['BMP7'],,,,,inferred from Human
14,BMP-8A,peptide,['BMP8A'],,,,,inferred from Human
15,BMP-8B,peptide,['BMP8B'],,,,,inferred from Human
16,BMP-9,peptide,['GDF2'],,,,,inferred from Human
17,C-type natriuretic peptide,peptide,['NPPC'],,,,,inferred from Human
18,C3a,peptide,['C3'],,,,,inferred from Human
19,C5a,peptide,['C5'],,,,,inferred from Human
20,C5a des-Arg,peptide,['C5'],,,,,inferred from Human
21,CCK-33,peptide,['CCK'],,,,,inferred from Human
22,CCK-39,peptide,['CCK'],,,,,inferred from Human
23,CCK-4,peptide,['CCK'],,,,,inferred from Human
24,CCK-58,peptide,['CCK'],,,,,inferred from Human
25,CCK-8,peptide,['CCK'],,,,,inferred from Mouse
26,CCL1,peptide,['CCL1'],,,,,inferred from Human
27,CCL11,peptide,['CCL11'],,,,,inferred from Mouse
28,CCL13,peptide,['CCL13'],,,,,inferred from Human
29,CCL14,peptide,['CCL14'],,,,,inferred from Human
30,CCL15,peptide,['CCL15'],,,,,inferred from Human
31,CCL16,peptide,['CCL16'],,,,,inferred from Human
32,CCL17,peptide,['CCL17'],,,,,inferred from Human
33,CCL18,peptide,['CCL18'],,,,,inferred from Human
34,CCL19,peptide,"['CCL19', 'CCL19']",,,,,inferred from Mouse
35,CCL2,peptide,['CCL2'],,,,,inferred from Human
36,CCL20,peptide,['CCL20'],,,,,inferred from Human
37,CCL21,peptide,['CCL21'],,,,,inferred from Human
38,CCL22,peptide,['CCL22'],,,,,inferred from Human
39,CCL23,peptide,['CCL23'],,,,,inferred from Human
40,CCL24,peptide,['CCL24'],,,,,inferred from Human
41,CCL25,peptide,['CCL25'],,,,,inferred from Human
42,CCL26,peptide,['CCL26'],,,,,inferred from Human
43,CCL27,peptide,['CCL27'],,,,,inferred from Human
44,CCL28,peptide,['CCL28'],,,,,inferred from Human
45,CCL3,peptide,['CCL3'],,,,,inferred from Human
46,CCL4,peptide,['CCL4'],,,,,inferred from Human
47,CCL5,peptide,['CCL5'],,,,,inferred from Human
48,CCL7,peptide,['CCL7'],,,,,inferred from Human
49,CCL8,peptide,['CCL8'],,,,,inferred from Mouse
50,CD30 ligand,peptide,['TNFSF8'],,,,,inferred from Human
51,CD40 ligand,peptide,['CD40LG'],,,,,inferred from Human
52,CD70,peptide,['CD70'],,,,,inferred from Human
53,CLUL1 (52-77),peptide,['CLUL1'],,,,,inferred from Human
54,CRAMP,peptide,['CAMP'],,,,,inferred from Mouse
55,CRCF1/CLCF1 heterodimer,peptide,['CLCF1|CRLF1'],,,,,inferred from Human
56,CST-17,peptide,['CORT'],,,,,inferred from Human
57,CX3CL1,peptide,['CX3CL1'],,,,,inferred from Human
58,CXCL1,peptide,['CXCL1'],,,,,inferred from Human
59,CXCL10,peptide,['CXCL10'],,,,,inferred from Human
60,CXCL11,peptide,['CXCL11'],,,,,inferred from Human
61,CXCL12α,peptide,['CXCL12'],,,,,inferred from Human
62,CXCL12β,peptide,['CXCL12'],,,,,inferred from Human
63,CXCL12γ,peptide,['CXCL12'],,,,,inferred from Human
64,CXCL12δ,peptide,['CXCL12'],,,,,inferred from Human
65,CXCL12ε,peptide,['CXCL12'],,,,,inferred from Human
66,CXCL12φ,peptide,['CXCL12'],,,,,inferred from Human
67,CXCL13,peptide,['CXCL13'],,,,,inferred from Human
68,CXCL16,peptide,['CXCL16'],,,,,inferred from Human
69,CXCL17,peptide,['CXCL17'],,,,,inferred from Human
70,CXCL2,peptide,['CXCL2'],,,,,inferred from Human
71,CXCL3,peptide,['CXCL3'],,,,,inferred from Human
72,CXCL5,peptide,['CXCL5'],,,,,inferred from Human
73,CXCL6,peptide,['CXCL6'],,,,,inferred from Human
74,CXCL7,peptide,['PPBP'],,,,,inferred from Human
75,CXCL8,peptide,['CXCL8'],,,,,inferred from Human
76,CXCL9,peptide,['CXCL9'],,,,,inferred from Human
77,Ccl21a,peptide,"['CCL21', 'CCL21']",,,,,inferred from Mouse
78,Ccl21b,peptide,"['CCL21', 'CCL21', 'CCL21', 'CCL21', 'CCL21', 'CCL21', 'CCL21']",,,,,inferred from Mouse
79,Chgb (511-532),peptide,['CHGB'],,,,,inferred from Rat
80,EGF,peptide,['EGF'],,,,,inferred from Human
81,Elabela/Toddler-11,peptide,['APELA'],,,,,inferred from Human
82,Elabela/Toddler-21,peptide,['APELA'],,,,,inferred from Human
83,Elabela/Toddler-32,peptide,['APELA'],,,,,inferred from Human
84,F2L,peptide,['HEBP1'],,,,,inferred from Human
85,FLRT3,peptide,['FLRT3'],,,,,inferred from Rat
86,FSH,peptide,['CGA|FSHB'],,,,,inferred from Human
87,Fas ligand,peptide,['FASLG'],,,,,inferred from Human
88,Fms-related tyrosine kinase 3 ligand,peptide,['FLT3LG'],,,,,inferred from Human
89,G-CSF,peptide,['CSF3'],,,,,inferred from Human
90,GHRH,peptide,['GHRH'],,,,,inferred from Human
91,GM-CSF,peptide,['CSF2'],,,,,inferred from Human
92,GMAP(1-41),peptide,['CSF2'],,,,,inferred from Human
93,GMAP(44-59),peptide,['CSF2'],,,,,inferred from Human
94,GnRH I,peptide,['GNRH1'],,,,,inferred from Mouse
95,GnRH II,peptide,['GNRH2'],,,,,inferred from Human
96,Guanylyl cyclase-activating protein 2,peptide,['GUCA1B'],,,,,inferred from Mouse
97,HB-EGF,peptide,['HBEGF'],,,,,inferred from Human
98,IFN-α1/13,peptide,['IFNA1|IFNA13'],,,,,inferred from Human
99,IFN-α10,peptide,['IFNA10'],,,,,inferred from Human
100,IFN-α14,peptide,['IFNA14'],,,,,inferred from Human
101,IFN-α16,peptide,['IFNA16'],,,,,inferred from Human
102,IFN-α17,peptide,['IFNA17'],,,,,inferred from Human
103,IFN-α2,peptide,['IFNA2'],,,,,inferred from Human
104,IFN-α21,peptide,['IFNA21'],,,,,inferred from Human
105,IFN-α4,peptide,['IFNA4'],,,,,inferred from Human
106,IFN-α5,peptide,['IFNA5'],,,,,inferred from Human
107,IFN-α6,peptide,['IFNA6'],,,,,inferred from Human
108,IFN-α7,peptide,['IFNA7'],,,,,inferred from Human
109,IFN-α8,peptide,['IFNA8'],,,,,inferred from Human
110,IFN-β,peptide,['IFNB1'],,,,,inferred from Human
111,IFN-γ,peptide,['IFNG'],,,,,inferred from Human
112,IFN-κ,peptide,['IFNK'],,,,,inferred from Human
113,IFN-λ1,peptide,['IFNL1'],,,,,inferred from Human
114,IFN-λ2,peptide,['IFNL2'],,,,,inferred from Human
115,IFN-λ3,peptide,['IFNL3'],,,,,inferred from Human
116,IFN-ω,peptide,['IFNW1'],,,,,inferred from Human
117,IL-1 receptor antagonist,peptide,['IL1RN'],,,,,inferred from Human
118,IL-10,peptide,['IL10'],,,,,inferred from Human
119,IL-11,peptide,['IL11'],,,,,inferred from Human
120,IL-12,peptide,['IL12A|IL12B'],,,,,inferred from Human
121,IL-13,peptide,['IL13'],,,,,inferred from Human
122,IL-15,peptide,['IL15'],,,,,inferred from Human
123,IL-17A,peptide,['IL17A'],,,,,inferred from Human
124,IL-17A/IL-17F,peptide,['IL17A|IL17F'],,,,,inferred from Human
125,IL-17B,peptide,['IL17B'],,,,,inferred from Human
126,IL-17C,peptide,['IL17C'],,,,,inferred from Human
127,IL-17F,peptide,['IL17F'],,,,,inferred from Human
128,IL-18,peptide,['IL18'],,,,,inferred from Human
129,IL-19,peptide,['IL19'],,,,,inferred from Human
130,IL-1α,peptide,['IL1A'],,,,,inferred from Human
131,IL-1β,peptide,['IL1B'],,,,,inferred from Human
132,IL-2,peptide,['IL2'],,,,,inferred from Human
133,IL-20,peptide,['IL20'],,,,,inferred from Human
134,IL-21,peptide,['IL21'],,,,,inferred from Human
135,IL-22,peptide,['IL22'],,,,,inferred from Human
136,IL-23,peptide,['IL12B|IL23A'],,,,,inferred from Human
137,IL-24,peptide,['IL24'],,,,,inferred from Human
138,IL-25,peptide,['IL25'],,,,,inferred from Human
